site,n
0.000000000000000000e+00,1.270561510894048007e+00
1.000000000000000000e+00,1.717965200419691474e+00
2.000000000000000000e+00,1.948864178409746906e+00
3.000000000000000000e+00,2.033806283662377368e+00
4.000000000000000000e+00,2.069497499943826480e+00
5.000000000000000000e+00,2.084644717970912442e+00
6.000000000000000000e+00,2.092851439466709262e+00
7.000000000000000000e+00,2.097978970349268391e+00
8.000000000000000000e+00,2.100285154634371487e+00
9.000000000000000000e+00,2.099013894532065105e+00
1.000000000000000000e+01,2.093809399565502716e+00
1.100000000000000000e+01,2.085195865049250141e+00
1.200000000000000000e+01,2.074366545286958186e+00
1.300000000000000000e+01,2.062678892572458622e+00
1.400000000000000000e+01,2.051291452797066484e+00
1.500000000000000000e+01,2.040985748793957111e+00
1.600000000000000000e+01,2.032135704568923007e+00
1.700000000000000000e+01,2.024810715222484347e+00
1.800000000000000000e+01,2.018899653083385370e+00
1.900000000000000000e+01,2.014209115292997954e+00
2.000000000000000000e+01,2.010525569709143312e+00
2.100000000000000000e+01,2.007647244284521904e+00
2.200000000000000000e+01,2.005396891148844674e+00
2.300000000000000000e+01,2.003623857585837165e+00
2.400000000000000000e+01,2.002200686306125910e+00
2.500000000000000000e+01,2.001018525240258139e+00
2.600000000000000000e+01,1.999983656006395050e+00
2.700000000000000000e+01,1.999020379988008189e+00
2.800000000000000000e+01,1.998081070746464238e+00
2.900000000000000000e+01,1.997237226012584355e+00
3.000000000000000000e+01,1.996636841691279640e+00
3.100000000000000000e+01,1.996282704343146808e+00
3.200000000000000000e+01,1.996093914281761528e+00
3.300000000000000000e+01,1.996014194203161063e+00
3.400000000000000000e+01,1.995999216658144615e+00
3.500000000000000000e+01,1.996018285172663109e+00
3.600000000000000000e+01,1.996050904672666659e+00
3.700000000000000000e+01,1.996084017220527418e+00
3.800000000000000000e+01,1.996109739373578718e+00
3.900000000000000000e+01,1.996123615826419950e+00
4.000000000000000000e+01,1.996123610144052485e+00
4.100000000000000000e+01,1.996109746094086645e+00
4.200000000000000000e+01,1.996084015095041853e+00
4.300000000000000000e+01,1.996050868491388686e+00
4.400000000000000000e+01,1.996018258947563462e+00
4.500000000000000000e+01,1.995999194147601408e+00
4.600000000000000000e+01,1.996014124299876569e+00
4.700000000000000000e+01,1.996093803762872376e+00
4.800000000000000000e+01,1.996282617393159153e+00
4.900000000000000000e+01,1.996636772776512192e+00
5.000000000000000000e+01,1.997237163162352003e+00
5.100000000000000000e+01,1.998081004024031104e+00
5.200000000000000000e+01,1.999020283349605354e+00
5.300000000000000000e+01,1.999983512888815707e+00
5.400000000000000000e+01,2.001018414407008450e+00
5.500000000000000000e+01,2.002200604712107701e+00
5.600000000000000000e+01,2.003623810383820647e+00
5.700000000000000000e+01,2.005396838750153066e+00
5.800000000000000000e+01,2.007647197685129559e+00
5.900000000000000000e+01,2.010525567044196826e+00
6.000000000000000000e+01,2.014209126289320917e+00
6.100000000000000000e+01,2.018899572162676570e+00
6.200000000000000000e+01,2.024810638548021569e+00
6.300000000000000000e+01,2.032135663390158165e+00
6.400000000000000000e+01,2.040985722144554870e+00
6.500000000000000000e+01,2.051291361348653641e+00
6.600000000000000000e+01,2.062678824363592955e+00
6.700000000000000000e+01,2.074366421360900770e+00
6.800000000000000000e+01,2.085195734833511061e+00
6.900000000000000000e+01,2.093809339686458770e+00
7.000000000000000000e+01,2.099013867092855534e+00
7.100000000000000000e+01,2.100285181879388841e+00
7.200000000000000000e+01,2.097979043933552390e+00
7.300000000000000000e+01,2.092851539476081157e+00
7.400000000000000000e+01,2.084644835544518848e+00
7.500000000000000000e+01,2.069497614421854426e+00
7.600000000000000000e+01,2.033806404353113884e+00
7.700000000000000000e+01,1.948864296909912808e+00
7.800000000000000000e+01,1.717965265894334292e+00
7.900000000000000000e+01,1.270561655819667068e+00
