r,C_nn
0.000000000000000000e+00,6.331074771608296015e-01
1.000000000000000000e+00,-1.425742342462660295e-01
2.000000000000000000e+00,-5.343533188927529487e-02
3.000000000000000000e+00,-7.159572284719872837e-02
4.000000000000000000e+00,-1.755771507586789681e-02
5.000000000000000000e+00,-2.200706238976368745e-02
6.000000000000000000e+00,3.299160009786472614e-04
7.000000000000000000e+00,-6.925738756415111830e-03
8.000000000000000000e+00,-3.736490034577766295e-03
9.000000000000000000e+00,-3.122654200284680215e-03
1.000000000000000000e+01,-1.812682786271002655e-03
1.100000000000000000e+01,-1.191711476191015251e-03
1.200000000000000000e+01,-5.411449790215794309e-04
1.300000000000000000e+01,-9.328411694653482300e-06
1.400000000000000000e+01,3.928949118385816064e-04
1.500000000000000000e+01,6.408140216718205551e-04
1.600000000000000000e+01,7.896613782649719582e-04
1.700000000000000000e+01,8.541032617119803660e-04
1.800000000000000000e+01,8.577028228278216204e-04
1.900000000000000000e+01,8.165105250284021565e-04
2.000000000000000000e+01,7.475147239575097302e-04
2.100000000000000000e+01,6.627189675649791667e-04
2.200000000000000000e+01,5.713035020538104192e-04
2.300000000000000000e+01,4.798118237394621843e-04
2.400000000000000000e+01,3.928760850049339837e-04
2.500000000000000000e+01,3.134112596616667190e-04
2.600000000000000000e+01,2.430530132051522685e-04
2.700000000000000000e+01,1.824674089285771572e-04
2.800000000000000000e+01,1.316325758493608333e-04
2.900000000000000000e+01,9.005063638745092192e-05
3.000000000000000000e+01,5.691333964863432016e-05
3.100000000000000000e+01,3.124758409001060500e-05
3.200000000000000000e+01,1.200649839061540547e-05
3.300000000000000000e+01,-1.849036106671420043e-06
3.400000000000000000e+01,-1.129926945475645539e-05
3.500000000000000000e+01,-1.725147141873328849e-05
3.600000000000000000e+01,-2.048808658905443281e-05
3.700000000000000000e+01,-2.170177517513138810e-05
3.800000000000000000e+01,-2.145195537095467841e-05
3.900000000000000000e+01,-2.021280631470112610e-05
4.000000000000000000e+01,-1.834755948082467114e-05
4.100000000000000000e+01,-1.614888335677022724e-05
4.200000000000000000e+01,-1.382722080234266571e-05
4.300000000000000000e+01,-1.153881996240890828e-05
4.400000000000000000e+01,-9.386443465375648998e-06
4.500000000000000000e+01,-7.435787318321729344e-06
4.600000000000000000e+01,-5.721063258024017273e-06
4.700000000000000000e+01,-4.254541283499335691e-06
4.800000000000000000e+01,-3.032132871227943838e-06
4.900000000000000000e+01,-2.038860974051814878e-06
5.000000000000000000e+01,-1.252953690356051197e-06
5.100000000000000000e+01,-6.490785120494280136e-07
5.200000000000000000e+01,-2.007591297648048112e-07
5.300000000000000000e+01,1.180624960017695457e-07
5.400000000000000000e+01,3.317701664506955694e-07
5.500000000000000000e+01,4.625786733658543426e-07
5.600000000000000000e+01,5.295195129040308757e-07
5.700000000000000000e+01,5.492058867684335155e-07
5.800000000000000000e+01,5.353641605587711183e-07
5.900000000000000000e+01,4.991418527389157589e-07
