site,n_tilde
0.000000000000000000e+00,1.160689684742447492e-01
1.000000000000000000e+00,4.783796352052944734e-01
2.000000000000000000e+00,1.056447441374437579e+00
3.000000000000000000e+00,1.768133958378992343e+00
4.000000000000000000e+00,2.451703311404496155e+00
5.000000000000000000e+00,2.997899436082985147e+00
6.000000000000000000e+00,3.394808380858549413e+00
7.000000000000000000e+00,3.652841921398039204e+00
8.000000000000000000e+00,3.806990030980003326e+00
9.000000000000000000e+00,3.887975302492233887e+00
1.000000000000000000e+01,3.914565684084459374e+00
1.100000000000000000e+01,3.893653117035183797e+00
1.200000000000000000e+01,3.817073732662479735e+00
1.300000000000000000e+01,3.664541187289588997e+00
1.400000000000000000e+01,3.405638518095442713e+00
1.500000000000000000e+01,3.012265562166255961e+00
1.600000000000000000e+01,2.472128633668209119e+00
1.700000000000000000e+01,1.818628140270049487e+00
1.800000000000000000e+01,1.167477424840172695e+00
1.900000000000000000e+01,6.324632302346097079e-01
2.000000000000000000e+01,2.783150946332760278e-01
2.100000000000000000e+01,6.653289402082325499e-02
2.200000000000000000e+01,8.624877655937931986e-03
2.300000000000000000e+01,1.141490471777450435e-03
2.400000000000000000e+01,3.585871807160703750e-03
2.500000000000000000e+01,3.576210015967483391e-02
2.600000000000000000e+01,2.293419884243798890e-01
2.700000000000000000e+01,7.359552778935449791e-01
2.800000000000000000e+01,1.352192159105207292e+00
2.900000000000000000e+01,2.045253775376859817e+00
3.000000000000000000e+01,2.648754881287057827e+00
3.100000000000000000e+01,3.093878635490872497e+00
3.200000000000000000e+01,3.369462992427005865e+00
3.300000000000000000e+01,3.489903059828716181e+00
3.400000000000000000e+01,3.502246472877484251e+00
3.500000000000000000e+01,3.437833659092190075e+00
3.600000000000000000e+01,3.320485181012596598e+00
3.700000000000000000e+01,3.168050814954215699e+00
3.800000000000000000e+01,2.988917278447778880e+00
3.900000000000000000e+01,2.795853213853034092e+00
4.000000000000000000e+01,2.598934842632516506e+00
4.100000000000000000e+01,2.387608528447110245e+00
4.200000000000000000e+01,2.164428164085757444e+00
4.300000000000000000e+01,1.938278391223668962e+00
4.400000000000000000e+01,1.716136971825829693e+00
4.500000000000000000e+01,1.511739851316634908e+00
4.600000000000000000e+01,1.339273705570465545e+00
4.700000000000000000e+01,1.209809332619418143e+00
4.800000000000000000e+01,1.130979304768186866e+00
4.900000000000000000e+01,1.109208816210819570e+00
5.000000000000000000e+01,1.144704556660168571e+00
5.100000000000000000e+01,1.233406049610041855e+00
5.200000000000000000e+01,1.364149918861216282e+00
5.300000000000000000e+01,1.523708132901958834e+00
5.400000000000000000e+01,1.691147187846663735e+00
5.500000000000000000e+01,1.853556593553197240e+00
5.600000000000000000e+01,1.995992816322086139e+00
5.700000000000000000e+01,2.108692409166035731e+00
5.800000000000000000e+01,2.188625206212250873e+00
5.900000000000000000e+01,2.235839543616253700e+00
6.000000000000000000e+01,2.253172988093512963e+00
6.100000000000000000e+01,2.245528276235893017e+00
6.200000000000000000e+01,2.217994619880035323e+00
6.300000000000000000e+01,2.175474293223825129e+00
6.400000000000000000e+01,2.122502028125837548e+00
6.500000000000000000e+01,2.062887962185349089e+00
6.600000000000000000e+01,2.000023737638480625e+00
6.700000000000000000e+01,1.936942173961309077e+00
6.800000000000000000e+01,1.876410110365676953e+00
6.900000000000000000e+01,1.820999223577747461e+00
7.000000000000000000e+01,1.772968712293107263e+00
7.100000000000000000e+01,1.734014296309773329e+00
7.200000000000000000e+01,1.706109251224227963e+00
7.300000000000000000e+01,1.689762120585982963e+00
7.400000000000000000e+01,1.684819802768415808e+00
7.500000000000000000e+01,1.690177416370420627e+00
7.600000000000000000e+01,1.704033240992582687e+00
7.700000000000000000e+01,1.724148797504497121e+00
7.800000000000000000e+01,1.747853945797603448e+00
