site,n
0.000000000000000000e+00,9.282976393431980888e-01
1.000000000000000000e+00,1.012323281366221961e+00
2.000000000000000000e+00,1.028220847275157279e+00
3.000000000000000000e+00,1.016724201345823531e+00
4.000000000000000000e+00,1.010495902806049395e+00
5.000000000000000000e+00,1.005182053117174235e+00
6.000000000000000000e+00,1.001897976207302809e+00
7.000000000000000000e+00,1.000021669185352513e+00
8.000000000000000000e+00,9.992516832156613793e-01
9.000000000000000000e+00,9.991260041160213712e-01
1.000000000000000000e+01,9.992829226172585955e-01
1.100000000000000000e+01,9.995108804306077621e-01
1.200000000000000000e+01,9.997128383682316599e-01
1.300000000000000000e+01,9.998574315058788020e-01
1.400000000000000000e+01,9.999466731913841944e-01
1.500000000000000000e+01,9.999944534003384344e-01
1.600000000000000000e+01,1.000015660656602634e+00
1.700000000000000000e+01,1.000022058945646330e+00
1.800000000000000000e+01,1.000021409858177668e+00
1.900000000000000000e+01,1.000018161175763032e+00
2.000000000000000000e+01,1.000014488735585738e+00
2.100000000000000000e+01,1.000011270425776422e+00
2.200000000000000000e+01,1.000008765870892935e+00
2.300000000000000000e+01,1.000006902087402949e+00
2.400000000000000000e+01,1.000005545279451402e+00
2.500000000000000000e+01,1.000004538687838895e+00
2.600000000000000000e+01,1.000003782468211755e+00
2.700000000000000000e+01,1.000003183799337725e+00
2.800000000000000000e+01,1.000002701443311048e+00
2.900000000000000000e+01,1.000002290538886784e+00
3.000000000000000000e+01,1.000001945976569884e+00
3.100000000000000000e+01,1.000001650130725617e+00
3.200000000000000000e+01,1.000001397020455984e+00
3.300000000000000000e+01,1.000001185065104270e+00
3.400000000000000000e+01,1.000001004360208556e+00
3.500000000000000000e+01,1.000000852838971221e+00
3.600000000000000000e+01,1.000000720657830300e+00
3.700000000000000000e+01,1.000000613517023851e+00
3.800000000000000000e+01,1.000000518278179928e+00
3.900000000000000000e+01,1.000000441154060837e+00
4.000000000000000000e+01,1.000000374900221534e+00
4.100000000000000000e+01,1.000000313840606614e+00
4.200000000000000000e+01,1.000000266311850128e+00
4.300000000000000000e+01,1.000000223963858126e+00
4.400000000000000000e+01,1.000000188410852475e+00
4.500000000000000000e+01,1.000000163542668297e+00
4.600000000000000000e+01,1.000000138725234189e+00
4.700000000000000000e+01,1.000000116062460087e+00
4.800000000000000000e+01,1.000000099576308976e+00
4.900000000000000000e+01,1.000000083077989599e+00
5.000000000000000000e+01,1.000000069628713240e+00
5.100000000000000000e+01,1.000000054987833398e+00
5.200000000000000000e+01,1.000000048160155197e+00
5.300000000000000000e+01,1.000000046234619022e+00
5.400000000000000000e+01,1.000000036014977445e+00
5.500000000000000000e+01,1.000000029276855606e+00
5.600000000000000000e+01,1.000000024212791550e+00
5.700000000000000000e+01,1.000000024621764849e+00
5.800000000000000000e+01,1.000000019447426114e+00
5.900000000000000000e+01,1.000000017908652339e+00
6.000000000000000000e+01,1.000000015888990568e+00
6.100000000000000000e+01,1.000000014062354614e+00
6.200000000000000000e+01,1.000000012258348114e+00
6.300000000000000000e+01,1.000000010638952830e+00
6.400000000000000000e+01,1.000000009130710188e+00
6.500000000000000000e+01,1.000000007845360583e+00
6.600000000000000000e+01,1.000000006690994647e+00
6.700000000000000000e+01,1.000000005749763998e+00
6.800000000000000000e+01,1.000000004908900175e+00
6.900000000000000000e+01,1.000000004244810503e+00
7.000000000000000000e+01,1.000000003646410063e+00
7.100000000000000000e+01,1.000000003189508435e+00
7.200000000000000000e+01,1.000000002764632745e+00
7.300000000000000000e+01,1.000000002455807779e+00
7.400000000000000000e+01,1.000000002161517854e+00
7.500000000000000000e+01,1.000000001967096264e+00
7.600000000000000000e+01,1.000000001771453206e+00
7.700000000000000000e+01,1.000000001665891869e+00
7.800000000000000000e+01,1.000000001555059193e+00
7.900000000000000000e+01,1.000000001529139482e+00
8.000000000000000000e+01,1.000000001491585300e+00
8.100000000000000000e+01,1.000000001537502570e+00
8.200000000000000000e+01,1.000000001575194641e+00
8.300000000000000000e+01,1.000000001698552188e+00
8.400000000000000000e+01,1.000000001814443040e+00
8.500000000000000000e+01,1.000000002021907974e+00
8.600000000000000000e+01,1.000000002233008667e+00
8.700000000000000000e+01,1.000000002546072464e+00
8.800000000000000000e+01,1.000000002872643456e+00
8.900000000000000000e+01,1.000000003316771524e+00
9.000000000000000000e+01,1.000000003796584380e+00
9.100000000000000000e+01,1.000000004416978783e+00
9.200000000000000000e+01,1.000000005097159139e+00
9.300000000000000000e+01,1.000000005949925219e+00
9.400000000000000000e+01,1.000000006903327687e+00
9.500000000000000000e+01,1.000000008073944402e+00
9.600000000000000000e+01,1.000000009394285572e+00
9.700000000000000000e+01,1.000000010992800892e+00
9.800000000000000000e+01,1.000000012816239847e+00
9.900000000000000000e+01,1.000000015003632337e+00
1.000000000000000000e+02,1.000000017515605855e+00
1.010000000000000000e+02,1.000000020515563470e+00
1.020000000000000000e+02,1.000000023994033649e+00
1.030000000000000000e+02,1.000000028142781439e+00
1.040000000000000000e+02,1.000000032982406584e+00
1.050000000000000000e+02,1.000000038736464925e+00
1.060000000000000000e+02,1.000000045454918052e+00
1.070000000000000000e+02,1.000000053385872611e+00
1.080000000000000000e+02,1.000000062647447008e+00
1.090000000000000000e+02,1.000000073509530019e+00
1.100000000000000000e+02,1.000000086189985815e+00
1.110000000000000000e+02,1.000000100062373498e+00
1.120000000000000000e+02,1.000000118123368864e+00
1.130000000000000000e+02,1.000000139257629428e+00
1.140000000000000000e+02,1.000000162620136468e+00
1.150000000000000000e+02,1.000000192374694841e+00
1.160000000000000000e+02,1.000000224142876482e+00
1.170000000000000000e+02,1.000000266327723875e+00
1.180000000000000000e+02,1.000000312153542570e+00
1.190000000000000000e+02,1.000000363455997299e+00
1.200000000000000000e+02,1.000000433954866264e+00
1.210000000000000000e+02,1.000000512127679819e+00
1.220000000000000000e+02,1.000000609775233862e+00
1.230000000000000000e+02,1.000000720550819011e+00
1.240000000000000000e+02,1.000000849105673550e+00
1.250000000000000000e+02,1.000001004450071118e+00
1.260000000000000000e+02,1.000001191169056058e+00
1.270000000000000000e+02,1.000001407123765729e+00
1.280000000000000000e+02,1.000001657256505583e+00
1.290000000000000000e+02,1.000001947260060753e+00
1.300000000000000000e+02,1.000002291482242400e+00
1.310000000000000000e+02,1.000002698443578586e+00
1.320000000000000000e+02,1.000003182420169168e+00
1.330000000000000000e+02,1.000003773696926945e+00
1.340000000000000000e+02,1.000004531499153471e+00
1.350000000000000000e+02,1.000005537682567169e+00
1.360000000000000000e+02,1.000006896677875901e+00
1.370000000000000000e+02,1.000008760560039178e+00
1.380000000000000000e+02,1.000011271822957237e+00
1.390000000000000000e+02,1.000014482834546303e+00
1.400000000000000000e+02,1.000018164340713556e+00
1.410000000000000000e+02,1.000021420599715549e+00
1.420000000000000000e+02,1.000022068823563925e+00
1.430000000000000000e+02,1.000015668681349723e+00
1.440000000000000000e+02,9.999944580333895994e-01
1.450000000000000000e+02,9.999466738317074332e-01
1.460000000000000000e+02,9.998574287258978899e-01
1.470000000000000000e+02,9.997128360869350638e-01
1.480000000000000000e+02,9.995108796243347138e-01
1.490000000000000000e+02,9.992829203742500388e-01
1.500000000000000000e+02,9.991259994656649379e-01
1.510000000000000000e+02,9.992516802825702760e-01
1.520000000000000000e+02,1.000021667059940444e+00
1.530000000000000000e+02,1.001897976606368701e+00
1.540000000000000000e+02,1.005182054835557892e+00
1.550000000000000000e+02,1.010495905766622071e+00
1.560000000000000000e+02,1.016724201425172280e+00
1.570000000000000000e+02,1.028220849913370705e+00
1.580000000000000000e+02,1.012323281885087134e+00
1.590000000000000000e+02,9.282976391032783381e-01
