r,C_d
0.000000000000000000e+00,6.718914719589586859e+00
1.000000000000000000e+00,4.256617130780474767e+00
2.000000000000000000e+00,4.258055303001324177e+00
3.000000000000000000e+00,4.376788921585505143e+00
4.000000000000000000e+00,4.345946943355286862e+00
5.000000000000000000e+00,4.302182085419939739e+00
6.000000000000000000e+00,4.250938836287412315e+00
7.000000000000000000e+00,4.199974493596123182e+00
8.000000000000000000e+00,4.148841357463393109e+00
9.000000000000000000e+00,4.095400068654697634e+00
1.000000000000000000e+01,4.039104228966783339e+00
1.100000000000000000e+01,3.980685596501924994e+00
1.200000000000000000e+01,3.921646114466696975e+00
1.300000000000000000e+01,3.863659138073958665e+00
1.400000000000000000e+01,3.808282439805747099e+00
1.500000000000000000e+01,3.756837308188405444e+00
1.600000000000000000e+01,3.710344019896988588e+00
1.700000000000000000e+01,3.669536089423589775e+00
1.800000000000000000e+01,3.634675832614129742e+00
1.900000000000000000e+01,3.607695974403613892e+00
2.000000000000000000e+01,3.587217438964191984e+00
2.100000000000000000e+01,3.572605348650010448e+00
2.200000000000000000e+01,3.562600263605407491e+00
2.300000000000000000e+01,3.555612326602483275e+00
2.400000000000000000e+01,3.550332220694572438e+00
2.500000000000000000e+01,3.545692938319655596e+00
2.600000000000000000e+01,3.540874890873262348e+00
2.700000000000000000e+01,3.535296900819492549e+00
2.800000000000000000e+01,3.528592793053274335e+00
2.900000000000000000e+01,3.520551071903513574e+00
3.000000000000000000e+01,3.511113485062858253e+00
3.100000000000000000e+01,3.500385059791181863e+00
3.200000000000000000e+01,3.488549247328702752e+00
3.300000000000000000e+01,3.475808351190842860e+00
3.400000000000000000e+01,3.462349683043531190e+00
3.500000000000000000e+01,3.448336666747614299e+00
3.600000000000000000e+01,3.433898274836338693e+00
3.700000000000000000e+01,3.419138354363740362e+00
3.800000000000000000e+01,3.404124066091084089e+00
3.900000000000000000e+01,3.389094431728025381e+00
4.000000000000000000e+01,3.374624195227871937e+00
4.100000000000000000e+01,3.360970554846945735e+00
4.200000000000000000e+01,3.348350902136513429e+00
4.300000000000000000e+01,3.337009982117081996e+00
4.400000000000000000e+01,3.328503270164633765e+00
4.500000000000000000e+01,3.322516614062449136e+00
4.600000000000000000e+01,3.320892640873992274e+00
4.700000000000000000e+01,3.323989895600095057e+00
4.800000000000000000e+01,3.331015749676002446e+00
4.900000000000000000e+01,3.340941084532788263e+00
5.000000000000000000e+01,3.352589946343680793e+00
5.100000000000000000e+01,3.364804280929133196e+00
5.200000000000000000e+01,3.376589717717073835e+00
5.300000000000000000e+01,3.387344779132933859e+00
5.400000000000000000e+01,3.397092756763917976e+00
5.500000000000000000e+01,3.406575312568950853e+00
5.600000000000000000e+01,3.415681958192031686e+00
5.700000000000000000e+01,3.428451010434760970e+00
5.800000000000000000e+01,3.444546141495358427e+00
5.900000000000000000e+01,3.460289143307398341e+00
6.000000000000000000e+01,3.474849615638372136e+00
6.100000000000000000e+01,3.489304388007272717e+00
6.200000000000000000e+01,3.502452216219234415e+00
