r,C_j
0.000000000000000000e+00,5.384786036349002103e+00
1.000000000000000000e+00,-1.176942034067320453e+00
2.000000000000000000e+00,2.686553689237747289e-01
3.000000000000000000e+00,6.734948549247626870e-02
4.000000000000000000e+00,-1.742237171727589740e-02
5.000000000000000000e+00,1.882350813775690579e-03
6.000000000000000000e+00,-1.834250746304000312e-03
7.000000000000000000e+00,4.252086593039550166e-04
8.000000000000000000e+00,-3.663603793890857219e-05
9.000000000000000000e+00,-8.798590001868333843e-05
1.000000000000000000e+01,-4.773413736242071437e-05
1.100000000000000000e+01,-2.655805960427581880e-05
1.200000000000000000e+01,-1.688358378176824104e-05
1.300000000000000000e+01,-1.201596347349953575e-05
1.400000000000000000e+01,-8.312519417463803961e-06
1.500000000000000000e+01,-5.757197773625932768e-06
1.600000000000000000e+01,-4.108987838424837946e-06
1.700000000000000000e+01,-2.994862242700069288e-06
1.800000000000000000e+01,-2.206187552866722967e-06
1.900000000000000000e+01,-1.638655529989652138e-06
2.000000000000000000e+01,-1.224579102843126321e-06
2.100000000000000000e+01,-9.197443322506160257e-07
2.200000000000000000e+01,-6.930811186078855712e-07
2.300000000000000000e+01,-5.235127399361161338e-07
2.400000000000000000e+01,-3.965205686018435927e-07
2.500000000000000000e+01,-3.009087569116886129e-07
2.600000000000000000e+01,-2.289012226430742203e-07
2.700000000000000000e+01,-1.742535679083445643e-07
2.800000000000000000e+01,-1.327016839192118880e-07
2.900000000000000000e+01,-1.012792743559920439e-07
3.000000000000000000e+01,-7.736975149441605026e-08
3.100000000000000000e+01,-5.913628775555679340e-08
3.200000000000000000e+01,-4.523290147995240318e-08
3.300000000000000000e+01,-3.461955794259452546e-08
3.400000000000000000e+01,-2.650792324532247335e-08
3.500000000000000000e+01,-2.031297080540284128e-08
3.600000000000000000e+01,-1.557841522448200067e-08
3.700000000000000000e+01,-1.195801552222874875e-08
3.800000000000000000e+01,-9.149887958415092726e-09
3.900000000000000000e+01,-7.023597037303375146e-09
4.000000000000000000e+01,-5.391715074409830777e-09
4.100000000000000000e+01,-4.136248898944927532e-09
4.200000000000000000e+01,-3.181419960807119196e-09
4.300000000000000000e+01,-2.439179247470946166e-09
4.400000000000000000e+01,-1.871065469227772837e-09
4.500000000000000000e+01,-1.437107488566624625e-09
4.600000000000000000e+01,-1.104481173186400156e-09
4.700000000000000000e+01,-8.491110592423467551e-10
4.800000000000000000e+01,-6.529479734673770963e-10
4.900000000000000000e+01,-5.021734139631917060e-10
5.000000000000000000e+01,-3.862679065491647634e-10
5.100000000000000000e+01,-2.971339840840414581e-10
5.200000000000000000e+01,-2.285886480102305995e-10
5.300000000000000000e+01,-1.758630463477572903e-10
5.400000000000000000e+01,-1.353095968603668098e-10
5.500000000000000000e+01,-1.041102759558043545e-10
5.600000000000000000e+01,-8.010969665406264539e-11
5.700000000000000000e+01,-6.164330157432118540e-11
5.800000000000000000e+01,-4.743555548358813212e-11
5.900000000000000000e+01,-3.650285629319682812e-11
6.000000000000000000e+01,-2.809169563633417965e-11
6.100000000000000000e+01,-2.161865131355966696e-11
6.200000000000000000e+01,-1.663780224703259591e-11
6.300000000000000000e+01,-1.280409112069946787e-11
6.400000000000000000e+01,-9.854561611177814484e-12
6.500000000000000000e+01,-7.584544103877988164e-12
6.600000000000000000e+01,-5.837330618874148058e-12
6.700000000000000000e+01,-4.492961558355546003e-12
6.800000000000000000e+01,-3.458511255161056397e-12
6.900000000000000000e+01,-2.661593168085119032e-12
7.000000000000000000e+01,-2.048805569643263880e-12
7.100000000000000000e+01,-1.576572206118953545e-12
7.200000000000000000e+01,-1.213917855125146161e-12
7.300000000000000000e+01,-9.338640971634504240e-13
7.400000000000000000e+01,-7.187028749910950864e-13
7.500000000000000000e+01,-5.533906666244092776e-13
7.600000000000000000e+01,-4.259370633974413067e-13
7.700000000000000000e+01,-3.278488591718087264e-13
7.800000000000000000e+01,-2.524092046485293395e-13
7.900000000000000000e+01,-1.944000516118649102e-13
8.000000000000000000e+01,-1.497690860219336173e-13
8.100000000000000000e+01,-1.151301276536287332e-13
8.200000000000000000e+01,-8.887335312124378106e-14
8.300000000000000000e+01,-6.811218256075335375e-14
8.400000000000000000e+01,-5.212497100615109957e-14
8.500000000000000000e+01,-4.002354003773689328e-14
8.600000000000000000e+01,-3.114175584073564096e-14
8.700000000000000000e+01,-2.392530618067212345e-14
8.800000000000000000e+01,-1.876276911616514553e-14
8.900000000000000000e+01,-1.409983241273948806e-14
9.000000000000000000e+01,-1.088018564132653410e-14
9.100000000000000000e+01,-8.326672684688674053e-15
9.200000000000000000e+01,-6.328271240363392280e-15
9.300000000000000000e+01,-4.996003610813204432e-15
9.400000000000000000e+01,-3.885780586188047891e-15
9.500000000000000000e+01,-3.053113317719180486e-15
9.600000000000000000e+01,-2.275957200481570908e-15
9.700000000000000000e+01,-1.720845688168992638e-15
9.800000000000000000e+01,-1.332267629550187849e-15
9.900000000000000000e+01,-9.992007221626408864e-16
