r,C_n
0.000000000000000000e+00,8.085410029566862278e+00
1.000000000000000000e+00,5.363638870785543133e-01
2.000000000000000000e+00,-2.457151622740163077e+00
3.000000000000000000e+00,-7.093365836070830710e-01
4.000000000000000000e+00,-3.656652542583529453e-01
5.000000000000000000e+00,-1.296954515737098745e-01
6.000000000000000000e+00,-4.465545653737734710e-02
7.000000000000000000e+00,-1.265133695304854200e-02
8.000000000000000000e+00,-7.348244233444489737e-03
9.000000000000000000e+00,-4.133173084824193211e-03
1.000000000000000000e+01,-3.156764332313599652e-03
1.100000000000000000e+01,-2.254272954274938456e-03
1.200000000000000000e+01,-1.617303953302950958e-03
1.300000000000000000e+01,-1.009229505424258377e-03
1.400000000000000000e+01,-5.170580800957225165e-04
1.500000000000000000e+01,-1.271967635219084514e-04
1.600000000000000000e+01,1.590178104784456536e-04
1.700000000000000000e+01,3.622754100334191207e-04
1.800000000000000000e+01,4.989517275042487654e-04
1.900000000000000000e+01,5.862346620624236948e-04
2.000000000000000000e+01,6.372754582741890772e-04
2.100000000000000000e+01,6.620741599334678540e-04
2.200000000000000000e+01,6.688158747927275272e-04
2.300000000000000000e+01,6.631487892292398101e-04
2.400000000000000000e+01,6.489782261702714550e-04
2.500000000000000000e+01,6.294817758565329768e-04
2.600000000000000000e+01,6.066611228874307926e-04
2.700000000000000000e+01,5.818124954686254569e-04
2.800000000000000000e+01,5.560472317469589143e-04
2.900000000000000000e+01,5.301849570855665661e-04
3.000000000000000000e+01,5.044495248469615944e-04
3.100000000000000000e+01,4.793710655022209721e-04
3.200000000000000000e+01,4.549852463036074823e-04
3.300000000000000000e+01,4.316080462700710996e-04
3.400000000000000000e+01,4.092576269272285572e-04
3.500000000000000000e+01,3.878333859681504237e-04
3.600000000000000000e+01,3.674114230420855165e-04
3.700000000000000000e+01,3.480813943816940537e-04
3.800000000000000000e+01,3.296225462499080550e-04
3.900000000000000000e+01,3.121580526475042916e-04
4.000000000000000000e+01,2.955390573013971789e-04
4.100000000000000000e+01,2.798522278375514816e-04
