r,C_sp
0.000000000000000000e+00,2.528177121084395296e+00
1.000000000000000000e+00,3.634338674596011842e-03
2.000000000000000000e+00,-1.485053649538474518e+00
3.000000000000000000e+00,-5.734000435449760832e-03
4.000000000000000000e+00,8.825268707971996029e-01
5.000000000000000000e+00,7.776179770330307606e-03
6.000000000000000000e+00,-5.698993957831625101e-01
7.000000000000000000e+00,-4.665716210462702261e-03
8.000000000000000000e+00,3.952227270345604615e-01
9.000000000000000000e+00,3.819074677995575907e-03
1.000000000000000000e+01,-2.949812508752334694e-01
1.100000000000000000e+01,-1.227149303212825802e-03
1.200000000000000000e+01,2.345820297568827484e-01
1.300000000000000000e+01,4.082230197741732228e-04
1.400000000000000000e+01,-1.971429939266562126e-01
1.500000000000000000e+01,9.588915407016884111e-04
1.600000000000000000e+01,1.735146796591182927e-01
1.700000000000000000e+01,-1.227986126208156477e-03
1.800000000000000000e+01,-1.574076722419018026e-01
1.900000000000000000e+01,1.480885692402556441e-03
2.000000000000000000e+01,1.465747418610912622e-01
2.100000000000000000e+01,-1.339356564113536579e-03
2.200000000000000000e+01,-1.377343362901178314e-01
2.300000000000000000e+01,9.511804945693049266e-04
2.400000000000000000e+01,1.312206296825618179e-01
2.500000000000000000e+01,-6.567011498686587019e-04
2.600000000000000000e+01,-1.247695439400120648e-01
2.700000000000000000e+01,8.818843938813697555e-05
2.800000000000000000e+01,1.198627061757998741e-01
2.900000000000000000e+01,1.343671890348160762e-04
3.000000000000000000e+01,-1.146254335503832794e-01
3.100000000000000000e+01,-5.899135426091495216e-04
3.200000000000000000e+01,1.108646350684166920e-01
3.300000000000000000e+01,6.167191870708913859e-04
3.400000000000000000e+01,-1.068806119685349332e-01
3.500000000000000000e+01,-8.689292656711851935e-04
3.600000000000000000e+01,1.043714766076431349e-01
3.700000000000000000e+01,7.078633991237189742e-04
3.800000000000000000e+01,-1.017425567881781456e-01
3.900000000000000000e+01,-8.152309440515847485e-04
4.000000000000000000e+01,1.004620638121769410e-01
4.100000000000000000e+01,5.491783234267457727e-04
4.200000000000000000e+01,-9.901145322345400457e-02
4.300000000000000000e+01,-6.200966427707581621e-04
4.400000000000000000e+01,9.868349553722817469e-02
4.500000000000000000e+01,3.319264668038818646e-04
4.600000000000000000e+01,-9.800838916592806427e-02
4.700000000000000000e+01,-4.477138763856128171e-04
4.800000000000000000e+01,9.822390919705430157e-02
4.900000000000000000e+01,1.852450493753500602e-04
5.000000000000000000e+01,-9.788051390664656570e-02
5.100000000000000000e+01,-3.731498772741990598e-04
5.200000000000000000e+01,9.826767883527175174e-02
5.300000000000000000e+01,1.477691641164418593e-04
5.400000000000000000e+01,-9.793658923557063689e-02
5.500000000000000000e+01,-3.915814974171983633e-04
5.600000000000000000e+01,9.827312476575712774e-02
5.700000000000000000e+01,1.907835175722942739e-04
5.800000000000000000e+01,-9.782320030975033553e-02
5.900000000000000000e+01,-4.563967216360427233e-04
6.000000000000000000e+01,9.805120699087158109e-02
6.100000000000000000e+01,2.600798371339424898e-04
6.200000000000000000e+01,-9.750131390300866008e-02
6.300000000000000000e+01,-5.184507155624845350e-04
6.400000000000000000e+01,9.766899368611550725e-02
6.500000000000000000e+01,3.118238613621025475e-04
6.600000000000000000e+01,-9.710260293443458146e-02
6.700000000000000000e+01,-5.501605528841344754e-04
6.800000000000000000e+01,9.728655002947815544e-02
6.900000000000000000e+01,3.287363931886029241e-04
7.000000000000000000e+01,-9.677664532219874827e-02
7.100000000000000000e+01,-5.494992363070309686e-04
7.200000000000000000e+01,9.702705265428955561e-02
7.300000000000000000e+01,3.170464795603753785e-04
7.400000000000000000e+01,-9.660032919880424951e-02
7.500000000000000000e+01,-5.302476493056413383e-04
7.600000000000000000e+01,9.692371659727733180e-02
7.700000000000000000e+01,2.937385922742797900e-04
7.800000000000000000e+01,-9.656336613579297179e-02
7.900000000000000000e+01,-5.089589858760220969e-04
8.000000000000000000e+01,9.693458099266803740e-02
8.100000000000000000e+01,2.741238903194529049e-04
8.200000000000000000e+01,-9.660385629616785597e-02
8.300000000000000000e+01,-4.960979169243960336e-04
8.400000000000000000e+01,9.698918708578511960e-02
8.500000000000000000e+01,2.653426753683996143e-04
8.600000000000000000e+01,-9.665560732823048895e-02
8.700000000000000000e+01,-4.936866596357878485e-04
8.800000000000000000e+01,9.703112850589040717e-02
8.900000000000000000e+01,2.663816595746252192e-04
9.000000000000000000e+01,-9.667918918761039815e-02
9.100000000000000000e+01,-4.978759165019592311e-04
9.200000000000000000e+01,9.703729448440755190e-02
9.300000000000000000e+01,2.719418527126690201e-04
9.400000000000000000e+01,-9.666814453681048247e-02
9.500000000000000000e+01,-5.032284359601993514e-04
9.600000000000000000e+01,9.701385755672489730e-02
9.700000000000000000e+01,2.767487522528858514e-04
9.800000000000000000e+01,-9.663737033341580906e-02
9.900000000000000000e+01,-5.059842799892722313e-04
1.000000000000000000e+02,9.698032405726128569e-02
1.010000000000000000e+02,2.780676438170528444e-04
1.020000000000000000e+02,-9.660642901563706864e-02
1.030000000000000000e+02,-5.051703961030126842e-04
1.040000000000000000e+02,9.695408180046811986e-02
1.050000000000000000e+02,2.759629825946977575e-04
1.060000000000000000e+02,-9.658776436188733217e-02
1.070000000000000000e+02,-5.019162511034956729e-04
1.080000000000000000e+02,9.694255159248031661e-02
1.090000000000000000e+02,2.721100846989573697e-04
1.100000000000000000e+02,-9.658336856238733392e-02
1.110000000000000000e+02,-4.980453049844129612e-04
1.120000000000000000e+02,9.694350248116519186e-02
1.130000000000000000e+02,2.683258906607875033e-04
1.140000000000000000e+02,-9.658795412524529000e-02
1.150000000000000000e+02,-4.949156969683197148e-04
1.160000000000000000e+02,9.694995978098262801e-02
1.170000000000000000e+02,2.656390478207031492e-04
1.180000000000000000e+02,-9.659437927653972966e-02
1.190000000000000000e+02,-4.929628836816362216e-04
1.200000000000000000e+02,9.695541577809776990e-02
1.210000000000000000e+02,2.641230351252697229e-04
1.220000000000000000e+02,-9.659776129416604296e-02
1.230000000000000000e+02,-4.918740108653939800e-04
1.240000000000000000e+02,9.695669229545260392e-02
1.250000000000000000e+02,2.632571963788628007e-04
1.260000000000000000e+02,-9.659682768798998065e-02
1.270000000000000000e+02,-4.910492575197353748e-04
1.280000000000000000e+02,9.695403895498121150e-02
1.290000000000000000e+02,2.624237062621383632e-04
1.300000000000000000e+02,-9.659299028174025969e-02
1.310000000000000000e+02,-4.900097125828005093e-04
1.320000000000000000e+02,9.694955791468627682e-02
1.330000000000000000e+02,2.612451916878103290e-04
1.340000000000000000e+02,-9.658852528604623677e-02
1.350000000000000000e+02,-4.885778654150299159e-04
1.360000000000000000e+02,9.694540170368695642e-02
1.370000000000000000e+02,2.596666475688602736e-04
1.380000000000000000e+02,-9.658510147379126276e-02
1.390000000000000000e+02,-4.868381802931710345e-04
1.400000000000000000e+02,9.694270193215384634e-02
1.410000000000000000e+02,2.578482400592482793e-04
1.420000000000000000e+02,-9.658321741040656883e-02
1.430000000000000000e+02,-4.849879145302671453e-04
1.440000000000000000e+02,9.694143881131891960e-02
1.450000000000000000e+02,2.559990026627789327e-04
1.460000000000000000e+02,-9.658243940995003829e-02
1.470000000000000000e+02,-4.831954934437014920e-04
1.480000000000000000e+02,9.694092223093735139e-02
1.490000000000000000e+02,2.542559910526420762e-04
1.500000000000000000e+02,-9.658199203705873648e-02
1.510000000000000000e+02,-4.815314859424222010e-04
1.520000000000000000e+02,9.694039791139071049e-02
1.530000000000000000e+02,2.526482164287498786e-04
1.540000000000000000e+02,-9.658126970715159854e-02
1.550000000000000000e+02,-4.799752999393311825e-04
1.560000000000000000e+02,9.693943422251860564e-02
1.570000000000000000e+02,2.511275469339512229e-04
1.580000000000000000e+02,-9.658005530100211011e-02
1.590000000000000000e+02,-4.784629638229745841e-04
1.600000000000000000e+02,9.693799405590165785e-02
1.610000000000000000e+02,2.496239113661665940e-04
1.620000000000000000e+02,-9.657846181331382340e-02
1.630000000000000000e+02,-4.769359462749651240e-04
1.640000000000000000e+02,9.693628759786175608e-02
1.650000000000000000e+02,2.480881441883547650e-04
1.660000000000000000e+02,-9.657673985665256311e-02
1.670000000000000000e+02,-4.753670848503791413e-04
1.680000000000000000e+02,9.693456762964934581e-02
1.690000000000000000e+02,2.465069771130188204e-04
1.700000000000000000e+02,-9.657509920299620076e-02
1.710000000000000000e+02,-4.737606456140858917e-04
1.720000000000000000e+02,9.693298960859204894e-02
1.730000000000000000e+02,2.448945242190902322e-04
1.740000000000000000e+02,-9.657362431790930679e-02
1.750000000000000000e+02,-4.721372258324767115e-04
1.760000000000000000e+02,9.693157688440810771e-02
1.770000000000000000e+02,2.432741197794473763e-04
1.780000000000000000e+02,-9.657228543645472729e-02
1.790000000000000000e+02,-4.705170614876370253e-04
1.800000000000000000e+02,9.693026407197008476e-02
1.810000000000000000e+02,2.416632583193364687e-04
1.820000000000000000e+02,-9.657100012336432282e-02
1.830000000000000000e+02,-4.689104385665143304e-04
1.840000000000000000e+02,9.692896520579878661e-02
1.850000000000000000e+02,2.400675990087831175e-04
1.860000000000000000e+02,-9.656969468782486410e-02
1.870000000000000000e+02,-4.673168750078993171e-04
1.880000000000000000e+02,9.692762355238029870e-02
1.890000000000000000e+02,2.384831569149620082e-04
1.900000000000000000e+02,-9.656833592999489180e-02
1.910000000000000000e+02,-4.657298254617870444e-04
1.920000000000000000e+02,9.692622670308537192e-02
1.930000000000000000e+02,2.369022266545785043e-04
1.940000000000000000e+02,-9.656693024464667319e-02
1.950000000000000000e+02,-4.641423507827106202e-04
1.960000000000000000e+02,9.692479408943524555e-02
1.970000000000000000e+02,2.353186369267286295e-04
1.980000000000000000e+02,-9.656550405963779116e-02
1.990000000000000000e+02,-4.625506224612930075e-04
2.000000000000000000e+02,9.692335437450377844e-02
2.010000000000000000e+02,2.337300843454176403e-04
2.020000000000000000e+02,-9.656408276941455537e-02
2.030000000000000000e+02,-4.609544741456225768e-04
2.040000000000000000e+02,9.692192780132623253e-02
2.050000000000000000e+02,2.321376360459591098e-04
2.060000000000000000e+02,-9.656267892374614803e-02
2.070000000000000000e+02,-4.593559610929753823e-04
2.080000000000000000e+02,9.692051993200057058e-02
2.090000000000000000e+02,2.305438163088345386e-04
2.100000000000000000e+02,-9.656129150994553767e-02
2.110000000000000000e+02,-4.577574483384567886e-04
2.120000000000000000e+02,9.691912505792654731e-02
2.130000000000000000e+02,2.289507863361298990e-04
2.140000000000000000e+02,-9.655991206490946444e-02
2.150000000000000000e+02,-4.561603436584444173e-04
2.160000000000000000e+02,9.691773362171010597e-02
2.170000000000000000e+02,2.273594547234475925e-04
2.180000000000000000e+02,-9.655853183740470413e-02
2.190000000000000000e+02,-4.545648175037341615e-04
2.200000000000000000e+02,9.691633841133527605e-02
2.210000000000000000e+02,2.257695603178354912e-04
2.220000000000000000e+02,-9.655714611626277366e-02
2.230000000000000000e+02,-4.529702348476166902e-04
2.240000000000000000e+02,9.691493705445211604e-02
2.250000000000000000e+02,2.241802837444972296e-04
2.260000000000000000e+02,-9.655575481770324597e-02
2.270000000000000000e+02,-4.513757954155887082e-04
2.280000000000000000e+02,9.691353114835619953e-02
2.290000000000000000e+02,2.225908736727747459e-04
2.300000000000000000e+02,-9.655436060231789575e-02
2.310000000000000000e+02,-4.497809875675390780e-04
2.320000000000000000e+02,9.691212384130548640e-02
2.330000000000000000e+02,2.210009802334954527e-04
2.340000000000000000e+02,-9.655296645371562458e-02
2.350000000000000000e+02,-4.481857147313171325e-04
2.360000000000000000e+02,9.691071767226971945e-02
2.370000000000000000e+02,2.194106567107709834e-04
2.380000000000000000e+02,-9.655157410764814152e-02
2.390000000000000000e+02,-4.465901695214638339e-04
2.400000000000000000e+02,9.690931360137912398e-02
2.410000000000000000e+02,2.178201664636094965e-04
2.420000000000000000e+02,-9.655018373436105583e-02
2.430000000000000000e+02,-4.449946209233682660e-04
2.440000000000000000e+02,9.690791120313337059e-02
2.450000000000000000e+02,2.162297689082764247e-04
2.460000000000000000e+02,-9.654879450651153439e-02
2.470000000000000000e+02,-4.433992530966638268e-04
2.480000000000000000e+02,9.690650944640631648e-02
2.490000000000000000e+02,2.146395962812449774e-04
