r,C_n
0.000000000000000000e+00,5.246373652181322456e+00
1.000000000000000000e+00,-3.641757836840575635e-01
2.000000000000000000e+00,-9.613336233223357397e-01
3.000000000000000000e+00,-2.414731471402120633e-02
4.000000000000000000e+00,1.021433868547205748e-02
5.000000000000000000e+00,3.011111250166109699e-02
6.000000000000000000e+00,2.514204601965985830e-02
7.000000000000000000e+00,1.782559105219405637e-02
8.000000000000000000e+00,1.094022071085731795e-02
9.000000000000000000e+00,6.683793510546820471e-03
1.000000000000000000e+01,4.062557337867644947e-03
1.100000000000000000e+01,2.522749478938379752e-03
1.200000000000000000e+01,1.611708202098327547e-03
1.300000000000000000e+01,1.071046588823065804e-03
1.400000000000000000e+01,7.407164893109552395e-04
1.500000000000000000e+01,5.312107090453821456e-04
1.600000000000000000e+01,3.922902254984705905e-04
1.700000000000000000e+01,2.959573323231268205e-04
1.800000000000000000e+01,2.267932168962261130e-04
1.900000000000000000e+01,1.757718803467867019e-04
2.000000000000000000e+01,1.373069655770109421e-04
2.100000000000000000e+01,1.080122018066731471e-04
2.200000000000000000e+01,8.542859673710267998e-05
2.300000000000000000e+01,6.793165797347455737e-05
2.400000000000000000e+01,5.429678540025406619e-05
2.500000000000000000e+01,4.363887125080623264e-05
2.600000000000000000e+01,3.526986688484612387e-05
2.700000000000000000e+01,2.867641629933359582e-05
2.800000000000000000e+01,2.346122208152223720e-05
2.900000000000000000e+01,1.932722616260207360e-05
3.000000000000000000e+01,1.603368600910926034e-05
3.100000000000000000e+01,1.340195776933228444e-05
3.200000000000000000e+01,1.127592360816720429e-05
3.300000000000000000e+01,9.581854023110736307e-06
3.400000000000000000e+01,8.205113186221524302e-06
3.500000000000000000e+01,7.078306627050778843e-06
3.600000000000000000e+01,6.160554178791244340e-06
3.700000000000000000e+01,5.401187532783069400e-06
3.800000000000000000e+01,4.772990649826169829e-06
3.900000000000000000e+01,4.248882472523973775e-06
4.000000000000000000e+01,3.797986803277808576e-06
4.100000000000000000e+01,3.433082635950768235e-06
4.200000000000000000e+01,3.118312186245475459e-06
4.300000000000000000e+01,2.842860304497207835e-06
4.400000000000000000e+01,2.609411929199723090e-06
4.500000000000000000e+01,2.402291794822986049e-06
4.600000000000000000e+01,2.221603871532806806e-06
4.700000000000000000e+01,2.061565588462599408e-06
4.800000000000000000e+01,1.911611825278214383e-06
4.900000000000000000e+01,1.789212124236883028e-06
