r,C_sp
0.000000000000000000e+00,3.152402885494997697e+00
1.000000000000000000e+00,-1.932975680327197576e+00
2.000000000000000000e+00,2.006611817702113412e-07
3.000000000000000000e+00,1.859245125507690055e+00
4.000000000000000000e+00,-2.503082228582195867e+00
5.000000000000000000e+00,1.719525930932513269e+00
6.000000000000000000e+00,-6.077989247500405188e-07
7.000000000000000000e+00,-1.528539670011277218e+00
8.000000000000000000e+00,1.593816411204703964e+00
9.000000000000000000e+00,-7.525131052855812408e-01
1.000000000000000000e+01,-4.658836715588475785e-01
1.100000000000000000e+01,1.352532444910133469e+00
1.200000000000000000e+01,-1.419280614410501684e+00
1.300000000000000000e+01,6.715140204665569490e-01
1.400000000000000000e+01,4.221227063019936665e-01
1.500000000000000000e+01,-1.077422404268574274e+00
1.600000000000000000e+01,1.078653842959785392e+00
1.700000000000000000e+01,-4.643356625957087425e-01
1.800000000000000000e+01,-3.898229689796778308e-01
1.900000000000000000e+01,9.869549755419596559e-01
2.000000000000000000e+01,-9.943089166620777686e-01
2.100000000000000000e+01,4.295905382238832670e-01
2.200000000000000000e+01,3.622668079848972433e-01
2.300000000000000000e+01,-8.353716336417731370e-01
2.400000000000000000e+01,8.299337871283275492e-01
2.500000000000000000e+01,-3.469179034174719733e-01
2.600000000000000000e+01,-3.228638134171347152e-01
2.700000000000000000e+01,7.890578522718212362e-01
2.800000000000000000e+01,-7.874290793872958938e-01
2.900000000000000000e+01,3.301171537778043730e-01
3.000000000000000000e+01,3.079754994732709084e-01
3.100000000000000000e+01,-7.082789205589602455e-01
3.200000000000000000e+01,7.042027199901784718e-01
3.300000000000000000e+01,-2.920820995965122679e-01
3.400000000000000000e+01,-2.826598706768260749e-01
3.500000000000000000e+01,6.844112591644490040e-01
3.600000000000000000e+01,-6.824233649025701620e-01
3.700000000000000000e+01,2.836137632443607171e-01
3.800000000000000000e+01,2.748247336862006396e-01
3.900000000000000000e+01,-6.417224802470228306e-01
4.000000000000000000e+01,6.395138403232998314e-01
4.100000000000000000e+01,-2.650170375614991358e-01
4.200000000000000000e+01,-2.603299883343490606e-01
4.300000000000000000e+01,6.293458013250121663e-01
4.400000000000000000e+01,-6.282547835784655366e-01
4.500000000000000000e+01,2.606762841580091417e-01
4.600000000000000000e+01,2.562237718127536312e-01
4.700000000000000000e+01,-6.068305192642491352e-01
4.800000000000000000e+01,6.059215152462331666e-01
4.900000000000000000e+01,-2.512911850101844924e-01
5.000000000000000000e+01,-2.482552128771094158e-01
5.100000000000000000e+01,6.003822643849007212e-01
5.200000000000000000e+01,-6.000658980744548732e-01
5.300000000000000000e+01,2.490430507337088595e-01
5.400000000000000000e+01,2.461044409949521838e-01
5.500000000000000000e+01,-5.885003908366684966e-01
5.600000000000000000e+01,5.883668457371654670e-01
5.700000000000000000e+01,-2.442158001723874206e-01
5.800000000000000000e+01,-2.417992593230991194e-01
5.900000000000000000e+01,5.851288251348346625e-01
6.000000000000000000e+01,-5.853084503831190721e-01
6.100000000000000000e+01,2.430436277851563132e-01
6.200000000000000000e+01,2.406718179915279809e-01
6.300000000000000000e+01,-5.788506903196678488e-01
6.400000000000000000e+01,5.791534319494530125e-01
6.500000000000000000e+01,-2.405328097578872393e-01
6.600000000000000000e+01,-2.383634987877515932e-01
6.700000000000000000e+01,5.770827649423631023e-01
6.800000000000000000e+01,-5.775513368861450170e-01
6.900000000000000000e+01,2.399193551922240153e-01
7.000000000000000000e+01,2.377712970448551955e-01
7.100000000000000000e+01,-5.737619757563013900e-01
7.200000000000000000e+01,5.743040638339715898e-01
7.300000000000000000e+01,-2.386046424077599981e-01
7.400000000000000000e+01,-2.365383946036147544e-01
7.500000000000000000e+01,5.728326717376962529e-01
7.600000000000000000e+01,-5.734629309127411423e-01
7.700000000000000000e+01,2.382827298730232080e-01
7.800000000000000000e+01,2.362266200744347344e-01
7.900000000000000000e+01,-5.710744253636558243e-01
8.000000000000000000e+01,5.717459619240635726e-01
8.100000000000000000e+01,-2.375909590038982888e-01
8.200000000000000000e+01,-2.355697260127811166e-01
8.300000000000000000e+01,5.705848672813638167e-01
8.400000000000000000e+01,-5.713034642059918733e-01
8.500000000000000000e+01,2.374215135135301913e-01
8.600000000000000000e+01,2.354052756109206168e-01
8.700000000000000000e+01,-5.696528423900981686e-01
8.800000000000000000e+01,5.703936811987336819e-01
8.900000000000000000e+01,-2.370560955332481345e-01
