r,C_n
0.000000000000000000e+00,1.448193374404960210e-01
1.000000000000000000e+00,-2.842980196431632578e-02
2.000000000000000000e+00,1.160934950922642983e-02
3.000000000000000000e+00,2.214466290638439361e-02
4.000000000000000000e+00,2.977664454430595242e-03
5.000000000000000000e+00,6.790982648072763084e-04
6.000000000000000000e+00,1.543241814432327885e-04
7.000000000000000000e+00,5.141549606380024784e-05
8.000000000000000000e+00,5.022072038229907776e-07
9.000000000000000000e+00,-1.146169016141840302e-06
1.000000000000000000e+01,-2.026507979202563092e-07
1.100000000000000000e+01,-1.530307658370588797e-08
1.200000000000000000e+01,1.244182534776427929e-09
1.300000000000000000e+01,5.154006110785758210e-10
1.400000000000000000e+01,3.237317081072887959e-10
1.500000000000000000e+01,1.255542336764392530e-10
1.600000000000000000e+01,2.010080990544338420e-11
1.700000000000000000e+01,8.424372310855687829e-13
1.800000000000000000e+01,-3.965716643961059162e-13
1.900000000000000000e+01,-1.225686219186172821e-13
2.000000000000000000e+01,-3.996802888650563546e-14
2.100000000000000000e+01,-2.220446049250313081e-14
2.200000000000000000e+01,-1.687538997430237941e-14
2.300000000000000000e+01,-1.598721155460225418e-14
2.400000000000000000e+01,-1.998401444325281773e-14
2.500000000000000000e+01,-1.909583602355269250e-14
2.600000000000000000e+01,-2.220446049250313081e-14
2.700000000000000000e+01,-2.353672812205331866e-14
2.800000000000000000e+01,-2.220446049250313081e-14
2.900000000000000000e+01,-2.309263891220325604e-14
3.000000000000000000e+01,-2.220446049250313081e-14
3.100000000000000000e+01,-2.176037128265306819e-14
3.200000000000000000e+01,-2.531308496145356912e-14
3.300000000000000000e+01,-2.442490654175344389e-14
3.400000000000000000e+01,-2.753353101070388220e-14
3.500000000000000000e+01,-2.975397705995419528e-14
3.600000000000000000e+01,-2.842170943040400743e-14
3.700000000000000000e+01,-2.930988785010413267e-14
3.800000000000000000e+01,-2.842170943040400743e-14
3.900000000000000000e+01,-2.797762022055394482e-14
4.000000000000000000e+01,-3.197442310920450836e-14
4.100000000000000000e+01,-3.108624468950438313e-14
4.200000000000000000e+01,-3.375077994860475883e-14
4.300000000000000000e+01,-3.597122599785507191e-14
4.400000000000000000e+01,-3.419486915845482145e-14
4.500000000000000000e+01,-3.508304757815494668e-14
4.600000000000000000e+01,-3.419486915845482145e-14
4.700000000000000000e+01,-3.419486915845482145e-14
4.800000000000000000e+01,-3.819167204710538499e-14
4.900000000000000000e+01,-3.730349362740525976e-14
5.000000000000000000e+01,-4.041211809635569807e-14
5.100000000000000000e+01,-4.218847493575594854e-14
5.200000000000000000e+01,-4.085620730620576069e-14
5.300000000000000000e+01,-4.130029651605582330e-14
5.400000000000000000e+01,-4.085620730620576069e-14
5.500000000000000000e+01,-4.041211809635569807e-14
5.600000000000000000e+01,-4.396483177515619900e-14
5.700000000000000000e+01,-4.352074256530613638e-14
5.800000000000000000e+01,-4.618527782440651208e-14
5.900000000000000000e+01,-4.840572387365682516e-14
6.000000000000000000e+01,-4.662936703425657470e-14
6.100000000000000000e+01,-4.707345624410663731e-14
6.200000000000000000e+01,-4.707345624410663731e-14
6.300000000000000000e+01,-4.618527782440651208e-14
6.400000000000000000e+01,-4.973799150320701301e-14
6.500000000000000000e+01,-4.929390229335695039e-14
6.600000000000000000e+01,-5.195843755245732609e-14
6.700000000000000000e+01,-5.417888360170763917e-14
6.800000000000000000e+01,-5.284661597215745132e-14
6.900000000000000000e+01,-5.329070518200751394e-14
7.000000000000000000e+01,-5.329070518200751394e-14
7.100000000000000000e+01,-5.195843755245732609e-14
7.200000000000000000e+01,-5.595524044110788964e-14
7.300000000000000000e+01,-5.506706202140776441e-14
7.400000000000000000e+01,-5.728750807065807749e-14
7.500000000000000000e+01,-5.950795411990839057e-14
7.600000000000000000e+01,-5.817568649035820272e-14
7.700000000000000000e+01,-5.861977570020826533e-14
7.800000000000000000e+01,-5.861977570020826533e-14
7.900000000000000000e+01,-5.728750807065807749e-14
8.000000000000000000e+01,-6.128431095930864103e-14
8.100000000000000000e+01,-6.039613253960851580e-14
8.200000000000000000e+01,-6.306066779870889150e-14
8.300000000000000000e+01,-6.572520305780926719e-14
8.400000000000000000e+01,-6.394884621840901673e-14
8.500000000000000000e+01,-6.483702463810914196e-14
8.600000000000000000e+01,-6.483702463810914196e-14
8.700000000000000000e+01,-6.394884621840901673e-14
8.800000000000000000e+01,-6.838973831690964289e-14
8.900000000000000000e+01,-6.705747068735945504e-14
9.000000000000000000e+01,-6.972200594645983074e-14
9.100000000000000000e+01,-7.238654120556020644e-14
9.200000000000000000e+01,-7.061018436615995597e-14
9.300000000000000000e+01,-7.149836278586008120e-14
9.400000000000000000e+01,-7.238654120556020644e-14
9.500000000000000000e+01,-7.061018436615995597e-14
9.600000000000000000e+01,-7.549516567451064475e-14
9.700000000000000000e+01,-7.416289804496045690e-14
9.800000000000000000e+01,-7.638334409421076998e-14
9.900000000000000000e+01,-7.860379014346108306e-14
1.000000000000000000e+02,-7.815970093361102045e-14
1.010000000000000000e+02,-7.949196856316120829e-14
1.020000000000000000e+02,-7.904787935331114568e-14
1.030000000000000000e+02,-7.727152251391089521e-14
1.040000000000000000e+02,-8.215650382226158399e-14
1.050000000000000000e+02,-8.038014698286133353e-14
1.060000000000000000e+02,-8.260059303211164661e-14
1.070000000000000000e+02,-8.482103908136195969e-14
1.080000000000000000e+02,-8.393286066166183446e-14
1.090000000000000000e+02,-8.526512829121202230e-14
1.100000000000000000e+02,-8.482103908136195969e-14
1.110000000000000000e+02,-8.393286066166183446e-14
1.120000000000000000e+02,-8.837375276016246062e-14
1.130000000000000000e+02,-8.659739592076221015e-14
1.140000000000000000e+02,-8.926193117986258585e-14
1.150000000000000000e+02,-9.059419880941277370e-14
1.160000000000000000e+02,-8.970602038971264847e-14
1.170000000000000000e+02,-9.015010959956271108e-14
1.180000000000000000e+02,-8.926193117986258585e-14
1.190000000000000000e+02,-8.926193117986258585e-14
1.200000000000000000e+02,-9.237055564881302416e-14
1.210000000000000000e+02,-9.148237722911289893e-14
1.220000000000000000e+02,-9.459100169806333724e-14
1.230000000000000000e+02,-9.636735853746358771e-14
1.240000000000000000e+02,-9.503509090791339986e-14
1.250000000000000000e+02,-9.547918011776346248e-14
1.260000000000000000e+02,-9.503509090791339986e-14
1.270000000000000000e+02,-9.414691248821327463e-14
1.280000000000000000e+02,-9.725553695716371294e-14
1.290000000000000000e+02,-9.636735853746358771e-14
1.300000000000000000e+02,-9.947598300641402602e-14
1.310000000000000000e+02,-1.016964290556643391e-13
1.320000000000000000e+02,-1.008082506359642139e-13
1.330000000000000000e+02,-1.016964290556643391e-13
1.340000000000000000e+02,-1.008082506359642139e-13
1.350000000000000000e+02,-1.003641614261141513e-13
1.360000000000000000e+02,-1.039168751049146522e-13
1.370000000000000000e+02,-1.034727858950645896e-13
1.380000000000000000e+02,-1.061373211541649653e-13
1.390000000000000000e+02,-1.079136779935652157e-13
1.400000000000000000e+02,-1.061373211541649653e-13
1.410000000000000000e+02,-1.070254995738650905e-13
1.420000000000000000e+02,-1.061373211541649653e-13
1.430000000000000000e+02,-1.061373211541649653e-13
1.440000000000000000e+02,-1.101341240428155288e-13
1.450000000000000000e+02,-1.092459456231154036e-13
1.460000000000000000e+02,-1.123545700920658419e-13
1.470000000000000000e+02,-1.136868377216160297e-13
1.480000000000000000e+02,-1.127986593019159045e-13
1.490000000000000000e+02,-1.132427485117659671e-13
1.500000000000000000e+02,-1.127986593019159045e-13
1.510000000000000000e+02,-1.127986593019159045e-13
