r,C_sp
0.000000000000000000e+00,2.671927469065596750e+00
1.000000000000000000e+00,-2.081418681247980018e+00
2.000000000000000000e+00,1.659010995146314782e+00
3.000000000000000000e+00,-1.384987213770127568e+00
4.000000000000000000e+00,1.163111454925224608e+00
5.000000000000000000e+00,-9.824704714988844456e-01
6.000000000000000000e+00,8.352819013743346677e-01
7.000000000000000000e+00,-7.165361081169205892e-01
8.000000000000000000e+00,6.197245426268717106e-01
9.000000000000000000e+00,-5.378950719429755889e-01
1.000000000000000000e+01,4.697789083281842526e-01
1.100000000000000000e+01,-4.129140027269181390e-01
1.200000000000000000e+01,3.652500860496741275e-01
1.300000000000000000e+01,-3.249234008216810854e-01
1.400000000000000000e+01,2.899566061680555751e-01
1.500000000000000000e+01,-2.604564529574914800e-01
1.600000000000000000e+01,2.355436824080968661e-01
1.700000000000000000e+01,-2.128581976870172199e-01
1.800000000000000000e+01,1.930202521898120860e-01
1.900000000000000000e+01,-1.756388091122637052e-01
2.000000000000000000e+01,1.605230315327171864e-01
2.100000000000000000e+01,-1.475457303922452779e-01
2.200000000000000000e+01,1.357448118150723915e-01
2.300000000000000000e+01,-1.254545158655657466e-01
2.400000000000000000e+01,1.167486071047467155e-01
2.500000000000000000e+01,-1.084989733488570668e-01
2.600000000000000000e+01,1.009243498735137023e-01
2.700000000000000000e+01,-9.396651203782012407e-02
2.800000000000000000e+01,8.780724975203836602e-02
2.900000000000000000e+01,-8.246753524327014861e-02
3.000000000000000000e+01,7.741877745846778569e-02
3.100000000000000000e+01,-7.296216656619637642e-02
3.200000000000000000e+01,6.921939260167393748e-02
3.300000000000000000e+01,-6.566639962667414343e-02
3.400000000000000000e+01,6.226552819384641863e-02
3.500000000000000000e+01,-5.890263159777769930e-02
3.600000000000000000e+01,5.587173334761907223e-02
3.700000000000000000e+01,-5.329713813839530995e-02
3.800000000000000000e+01,5.078314938562233233e-02
3.900000000000000000e+01,-4.850585850160096107e-02
4.000000000000000000e+01,4.661548965049476523e-02
4.100000000000000000e+01,-4.473763305493764358e-02
4.200000000000000000e+01,4.285532375666045724e-02
4.300000000000000000e+01,-4.088003358958905431e-02
4.400000000000000000e+01,3.903815598231250017e-02
4.500000000000000000e+01,-3.752028449637892504e-02
4.600000000000000000e+01,3.606577807266463792e-02
