r,C_d
0.000000000000000000e+00,1.841783484472526933e+00
1.000000000000000000e+00,5.518128110134101760e-01
2.000000000000000000e+00,3.851851349643033995e-01
3.000000000000000000e+00,3.437554011862655745e-01
4.000000000000000000e+00,2.780176390266788644e-01
5.000000000000000000e+00,2.286566732306381522e-01
6.000000000000000000e+00,1.883976334600586111e-01
7.000000000000000000e+00,1.570976799326068984e-01
8.000000000000000000e+00,1.320276613210419059e-01
9.000000000000000000e+00,1.115801182665578650e-01
1.000000000000000000e+01,9.473605303890172968e-02
1.100000000000000000e+01,8.074812348694589137e-02
1.200000000000000000e+01,6.905037099190119987e-02
1.300000000000000000e+01,5.921060576994259528e-02
1.400000000000000000e+01,5.089374557478756195e-02
1.500000000000000000e+01,4.383573339274986214e-02
1.600000000000000000e+01,3.782538797119910229e-02
1.700000000000000000e+01,3.269195211325462425e-02
1.800000000000000000e+01,2.829609140445490251e-02
1.900000000000000000e+01,2.452321710348610156e-02
2.000000000000000000e+01,2.127845397420796703e-02
2.100000000000000000e+01,1.848280596516391899e-02
2.200000000000000000e+01,1.607016203936773718e-02
2.300000000000000000e+01,1.398495876855197946e-02
2.400000000000000000e+01,1.218031913681916385e-02
2.500000000000000000e+01,1.061656201219644304e-02
2.600000000000000000e+01,9.259997927675154422e-03
2.700000000000000000e+01,8.081946558758015126e-03
2.800000000000000000e+01,7.057930055293199292e-03
2.900000000000000000e+01,6.167019947333929331e-03
3.000000000000000000e+01,5.391279081658481749e-03
3.100000000000000000e+01,4.715306358715512861e-03
3.200000000000000000e+01,4.125856723133881562e-03
3.300000000000000000e+01,3.611521205741796779e-03
3.400000000000000000e+01,3.162458214211065922e-03
3.500000000000000000e+01,2.770165998804939578e-03
3.600000000000000000e+01,2.427289534138032424e-03
3.700000000000000000e+01,2.127462402960357893e-03
3.800000000000000000e+01,1.865164355172485491e-03
3.900000000000000000e+01,1.635604136167129793e-03
4.000000000000000000e+01,1.434619887889426737e-03
4.100000000000000000e+01,1.258593139929221980e-03
4.200000000000000000e+01,1.104375327470529747e-03
4.300000000000000000e+01,9.692243780013292146e-04
4.400000000000000000e+01,8.507499424075692278e-04
4.500000000000000000e+01,7.468685244666854999e-04
4.600000000000000000e+01,6.557615626604652425e-04
4.700000000000000000e+01,5.758409090689524824e-04
4.800000000000000000e+01,5.057191716935431321e-04
4.900000000000000000e+01,4.441836908558736605e-04
5.000000000000000000e+01,3.901740799437560100e-04
5.100000000000000000e+01,3.427626084982891190e-04
5.200000000000000000e+01,3.011370723232575041e-04
5.300000000000000000e+01,2.645867690934188650e-04
5.400000000000000000e+01,2.324890795156549683e-04
5.500000000000000000e+01,2.042984162916371767e-04
5.600000000000000000e+01,1.795366638047321258e-04
5.700000000000000000e+01,1.577847062999629120e-04
5.800000000000000000e+01,1.386750722611559581e-04
5.900000000000000000e+01,1.218854616693344919e-04
6.000000000000000000e+01,1.071330562449374784e-04
6.100000000000000000e+01,9.416986376762106722e-05
