r,C_j
0.000000000000000000e+00,6.636113447771315066e+00
1.000000000000000000e+00,-2.613080267314533245e+00
2.000000000000000000e+00,5.440242903593180968e-01
3.000000000000000000e+00,1.933373315143216975e-01
4.000000000000000000e+00,-2.320406571523435657e-01
5.000000000000000000e+00,2.278194598818686911e-01
6.000000000000000000e+00,-1.749418969423461867e-01
7.000000000000000000e+00,7.903293546894907262e-02
8.000000000000000000e+00,-4.468016241063077487e-03
9.000000000000000000e+00,-1.982196718027307014e-02
1.000000000000000000e+01,1.750726853020323492e-02
1.100000000000000000e+01,-1.038022620869216706e-02
1.200000000000000000e+01,5.264460333933240754e-03
1.300000000000000000e+01,-8.751534112165781920e-04
1.400000000000000000e+01,-1.174249979726704751e-03
1.500000000000000000e+01,1.297108308109917729e-03
1.600000000000000000e+01,-7.601056691547425359e-04
1.700000000000000000e+01,2.781295235838587843e-04
1.800000000000000000e+01,-1.356198746954584422e-04
1.900000000000000000e+01,-4.263423296702040233e-05
2.000000000000000000e+01,1.866426908170293331e-05
2.100000000000000000e+01,-5.432400769944667474e-05
2.200000000000000000e+01,1.658207234445097100e-05
2.300000000000000000e+01,-1.391248655180366001e-05
2.400000000000000000e+01,-2.834236005888612908e-07
2.500000000000000000e+01,1.798058551161219043e-06
2.600000000000000000e+01,-1.348067406481412434e-06
2.700000000000000000e+01,9.212996445739918272e-07
2.800000000000000000e+01,1.764178129914917292e-06
2.900000000000000000e+01,1.062589328748586581e-07
3.000000000000000000e+01,8.257728867366864733e-08
3.100000000000000000e+01,8.260458980169360643e-07
3.200000000000000000e+01,1.663354631808999784e-07
3.300000000000000000e+01,1.762449518549757954e-07
3.400000000000000000e+01,3.145430879092359078e-07
3.500000000000000000e+01,1.543459856589990409e-07
3.600000000000000000e+01,1.197168865152420381e-07
3.700000000000000000e+01,1.206190702873755072e-09
3.800000000000000000e+01,6.621441628329449713e-08
3.900000000000000000e+01,-2.192890546925951867e-08
4.000000000000000000e+01,-1.625224888002207990e-08
4.100000000000000000e+01,-5.188454665905339880e-09
4.200000000000000000e+01,-3.045188834427392521e-08
4.300000000000000000e+01,-6.320823309202694418e-09
4.400000000000000000e+01,-2.461825665545092079e-08
4.500000000000000000e+01,-2.895560458071599896e-10
4.600000000000000000e+01,-3.919993329937199178e-09
4.700000000000000000e+01,-4.922237395454942543e-09
4.800000000000000000e+01,7.697474879719834462e-10
4.900000000000000000e+01,-1.010612260543553020e-09
5.000000000000000000e+01,2.814879440649065145e-10
5.100000000000000000e+01,-4.963581767825075985e-10
5.200000000000000000e+01,9.686333957148463014e-10
5.300000000000000000e+01,6.411737807354711549e-11
5.400000000000000000e+01,-1.598989829432184706e-10
5.500000000000000000e+01,5.052719354026180554e-10
5.600000000000000000e+01,4.988887081225357178e-11
5.700000000000000000e+01,1.038562569277701186e-10
5.800000000000000000e+01,1.769847601806873172e-10
5.900000000000000000e+01,7.524647571699460968e-11
6.000000000000000000e+01,8.729239553417755815e-11
6.100000000000000000e+01,-2.786437747204217885e-12
6.200000000000000000e+01,3.653721769580897671e-11
6.300000000000000000e+01,-5.271338920920243254e-12
6.400000000000000000e+01,-8.666956041736284533e-12
6.500000000000000000e+01,-1.094568879977941833e-12
6.600000000000000000e+01,-1.475153332819445495e-11
6.700000000000000000e+01,-2.335798221508866845e-12
6.800000000000000000e+01,-1.257172144164542260e-11
6.900000000000000000e+01,-2.132738430304925714e-13
7.000000000000000000e+01,-1.645461544796944509e-12
7.100000000000000000e+01,-2.848055125070914073e-12
7.200000000000000000e+01,3.149702720861569105e-13
7.300000000000000000e+01,-5.835332217429822776e-13
7.400000000000000000e+01,-5.528910662633279571e-14
7.500000000000000000e+01,-3.111955138024313783e-13
7.600000000000000000e+01,3.593791930711631721e-13
7.700000000000000000e+01,3.330669073875469621e-14
7.800000000000000000e+01,-1.132427485117659671e-13
7.900000000000000000e+01,2.430278200904467667e-13
8.000000000000000000e+01,3.219646771412953967e-14
8.100000000000000000e+01,4.973799150320701301e-14
8.200000000000000000e+01,9.847678228425138514e-14
8.300000000000000000e+01,3.774758283725532237e-14
8.400000000000000000e+01,5.373479439185757656e-14
8.500000000000000000e+01,-7.771561172376095783e-16
8.600000000000000000e+01,1.831867990631508292e-14
8.700000000000000000e+01,4.440892098500626162e-16
8.800000000000000000e+01,-4.773959005888173124e-15
8.900000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+01,-6.550315845288423588e-15
9.100000000000000000e+01,-4.440892098500626162e-16
9.200000000000000000e+01,-5.995204332975845318e-15
9.300000000000000000e+01,0.000000000000000000e+00
9.400000000000000000e+01,-5.551115123125782702e-16
9.500000000000000000e+01,-1.332267629550187849e-15
9.600000000000000000e+01,-1.110223024625156540e-16
9.700000000000000000e+01,-4.440892098500626162e-16
9.800000000000000000e+01,-1.110223024625156540e-16
9.900000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+02,2.220446049250313081e-16
1.010000000000000000e+02,0.000000000000000000e+00
1.020000000000000000e+02,-3.330669073875469621e-16
1.030000000000000000e+02,2.220446049250313081e-16
1.040000000000000000e+02,-1.110223024625156540e-16
1.050000000000000000e+02,-2.220446049250313081e-16
1.060000000000000000e+02,3.330669073875469621e-16
1.070000000000000000e+02,-2.220446049250313081e-16
1.080000000000000000e+02,-1.110223024625156540e-16
1.090000000000000000e+02,2.220446049250313081e-16
1.100000000000000000e+02,0.000000000000000000e+00
1.110000000000000000e+02,0.000000000000000000e+00
1.120000000000000000e+02,0.000000000000000000e+00
1.130000000000000000e+02,0.000000000000000000e+00
1.140000000000000000e+02,0.000000000000000000e+00
1.150000000000000000e+02,-2.220446049250313081e-16
1.160000000000000000e+02,-1.110223024625156540e-16
1.170000000000000000e+02,1.110223024625156540e-16
1.180000000000000000e+02,-1.110223024625156540e-16
1.190000000000000000e+02,-3.330669073875469621e-16
1.200000000000000000e+02,2.220446049250313081e-16
1.210000000000000000e+02,1.110223024625156540e-16
1.220000000000000000e+02,2.220446049250313081e-16
1.230000000000000000e+02,-1.110223024625156540e-16
1.240000000000000000e+02,-1.110223024625156540e-16
1.250000000000000000e+02,-2.220446049250313081e-16
1.260000000000000000e+02,0.000000000000000000e+00
1.270000000000000000e+02,-1.110223024625156540e-16
1.280000000000000000e+02,-1.110223024625156540e-16
1.290000000000000000e+02,1.110223024625156540e-16
1.300000000000000000e+02,-1.110223024625156540e-16
1.310000000000000000e+02,-1.110223024625156540e-16
1.320000000000000000e+02,-1.110223024625156540e-16
1.330000000000000000e+02,-1.110223024625156540e-16
1.340000000000000000e+02,-3.330669073875469621e-16
1.350000000000000000e+02,1.110223024625156540e-16
1.360000000000000000e+02,-2.220446049250313081e-16
1.370000000000000000e+02,0.000000000000000000e+00
1.380000000000000000e+02,-1.110223024625156540e-16
1.390000000000000000e+02,1.110223024625156540e-16
1.400000000000000000e+02,0.000000000000000000e+00
1.410000000000000000e+02,2.220446049250313081e-16
1.420000000000000000e+02,0.000000000000000000e+00
1.430000000000000000e+02,-2.220446049250313081e-16
1.440000000000000000e+02,1.110223024625156540e-16
1.450000000000000000e+02,1.110223024625156540e-16
1.460000000000000000e+02,-1.110223024625156540e-16
1.470000000000000000e+02,1.110223024625156540e-16
1.480000000000000000e+02,1.110223024625156540e-16
1.490000000000000000e+02,0.000000000000000000e+00
1.500000000000000000e+02,2.220446049250313081e-16
1.510000000000000000e+02,-2.220446049250313081e-16
1.520000000000000000e+02,-1.110223024625156540e-16
1.530000000000000000e+02,-1.110223024625156540e-16
1.540000000000000000e+02,0.000000000000000000e+00
1.550000000000000000e+02,-1.110223024625156540e-16
1.560000000000000000e+02,-1.110223024625156540e-16
1.570000000000000000e+02,0.000000000000000000e+00
1.580000000000000000e+02,1.110223024625156540e-16
1.590000000000000000e+02,-2.220446049250313081e-16
1.600000000000000000e+02,-1.110223024625156540e-16
1.610000000000000000e+02,1.110223024625156540e-16
1.620000000000000000e+02,-1.110223024625156540e-16
1.630000000000000000e+02,2.220446049250313081e-16
1.640000000000000000e+02,-2.220446049250313081e-16
1.650000000000000000e+02,0.000000000000000000e+00
1.660000000000000000e+02,1.110223024625156540e-16
1.670000000000000000e+02,2.220446049250313081e-16
1.680000000000000000e+02,-1.110223024625156540e-16
1.690000000000000000e+02,0.000000000000000000e+00
1.700000000000000000e+02,0.000000000000000000e+00
1.710000000000000000e+02,0.000000000000000000e+00
1.720000000000000000e+02,1.110223024625156540e-16
1.730000000000000000e+02,-1.110223024625156540e-16
1.740000000000000000e+02,1.110223024625156540e-16
1.750000000000000000e+02,1.110223024625156540e-16
1.760000000000000000e+02,0.000000000000000000e+00
1.770000000000000000e+02,1.110223024625156540e-16
1.780000000000000000e+02,0.000000000000000000e+00
1.790000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,0.000000000000000000e+00
1.810000000000000000e+02,0.000000000000000000e+00
1.820000000000000000e+02,2.220446049250313081e-16
1.830000000000000000e+02,2.220446049250313081e-16
1.840000000000000000e+02,1.110223024625156540e-16
1.850000000000000000e+02,0.000000000000000000e+00
1.860000000000000000e+02,0.000000000000000000e+00
1.870000000000000000e+02,4.440892098500626162e-16
1.880000000000000000e+02,1.110223024625156540e-16
1.890000000000000000e+02,-1.110223024625156540e-16
1.900000000000000000e+02,-1.110223024625156540e-16
1.910000000000000000e+02,0.000000000000000000e+00
1.920000000000000000e+02,0.000000000000000000e+00
1.930000000000000000e+02,1.110223024625156540e-16
1.940000000000000000e+02,1.110223024625156540e-16
1.950000000000000000e+02,2.220446049250313081e-16
1.960000000000000000e+02,1.110223024625156540e-16
1.970000000000000000e+02,-1.110223024625156540e-16
1.980000000000000000e+02,-1.110223024625156540e-16
1.990000000000000000e+02,1.110223024625156540e-16
2.000000000000000000e+02,2.220446049250313081e-16
2.010000000000000000e+02,0.000000000000000000e+00
2.020000000000000000e+02,1.110223024625156540e-16
2.030000000000000000e+02,-1.110223024625156540e-16
2.040000000000000000e+02,-3.330669073875469621e-16
2.050000000000000000e+02,0.000000000000000000e+00
2.060000000000000000e+02,1.110223024625156540e-16
2.070000000000000000e+02,0.000000000000000000e+00
2.080000000000000000e+02,0.000000000000000000e+00
2.090000000000000000e+02,-1.110223024625156540e-16
2.100000000000000000e+02,-1.110223024625156540e-16
2.110000000000000000e+02,1.110223024625156540e-16
2.120000000000000000e+02,2.220446049250313081e-16
2.130000000000000000e+02,1.110223024625156540e-16
2.140000000000000000e+02,1.110223024625156540e-16
2.150000000000000000e+02,1.110223024625156540e-16
2.160000000000000000e+02,1.110223024625156540e-16
2.170000000000000000e+02,-1.110223024625156540e-16
2.180000000000000000e+02,1.110223024625156540e-16
2.190000000000000000e+02,-2.220446049250313081e-16
2.200000000000000000e+02,-3.330669073875469621e-16
2.210000000000000000e+02,-3.330669073875469621e-16
2.220000000000000000e+02,0.000000000000000000e+00
2.230000000000000000e+02,0.000000000000000000e+00
2.240000000000000000e+02,1.110223024625156540e-16
