r,C_d
0.000000000000000000e+00,1.886737534152085560e+00
1.000000000000000000e+00,4.454896926085883391e-01
2.000000000000000000e+00,2.338523332595911497e-01
3.000000000000000000e+00,1.724038338529527148e-01
4.000000000000000000e+00,1.134825743409941939e-01
5.000000000000000000e+00,7.622142343915290497e-02
6.000000000000000000e+00,5.119552338243144735e-02
7.000000000000000000e+00,3.479286400878611046e-02
8.000000000000000000e+00,2.389764453695385205e-02
9.000000000000000000e+00,1.651756517987933506e-02
1.000000000000000000e+01,1.147197386946468937e-02
1.100000000000000000e+01,8.000642976045796786e-03
1.200000000000000000e+01,5.599153749205372163e-03
1.300000000000000000e+01,3.930125881408341737e-03
1.400000000000000000e+01,2.765636005227032485e-03
1.500000000000000000e+01,1.950496646496781804e-03
1.600000000000000000e+01,1.378293669298097032e-03
1.700000000000000000e+01,9.756359858391624529e-04
1.800000000000000000e+01,6.916724847802348903e-04
1.900000000000000000e+01,4.910302629404534203e-04
2.000000000000000000e+01,3.490183524672721502e-04
2.100000000000000000e+01,2.483505704547046247e-04
2.200000000000000000e+01,1.768925307322418729e-04
2.300000000000000000e+01,1.261064137696003037e-04
2.400000000000000000e+01,8.997224010469775989e-05
2.500000000000000000e+01,6.423740439153882524e-05
2.600000000000000000e+01,4.589268017455882712e-05
2.700000000000000000e+01,3.280546385289518269e-05
2.800000000000000000e+01,2.346228369807983261e-05
2.900000000000000000e+01,1.678774966144413479e-05
3.000000000000000000e+01,1.201688030867405635e-05
3.100000000000000000e+01,8.604968221150596116e-06
3.200000000000000000e+01,6.163793628056068854e-06
3.300000000000000000e+01,4.416447163691661545e-06
3.400000000000000000e+01,3.165267658962875074e-06
3.500000000000000000e+01,2.269072210301763321e-06
3.600000000000000000e+01,1.626955755069368145e-06
3.700000000000000000e+01,1.166764136545469017e-06
3.800000000000000000e+01,8.368768037064067475e-07
3.900000000000000000e+01,6.003484997798900819e-07
4.000000000000000000e+01,4.307266365493732539e-07
4.100000000000000000e+01,3.090653036406422084e-07
4.200000000000000000e+01,2.217907267943593457e-07
4.300000000000000000e+01,1.591755666451333362e-07
4.400000000000000000e+01,1.142470223642440372e-07
4.500000000000000000e+01,8.200588466490503731e-08
4.600000000000000000e+01,5.886718058257771181e-08
4.700000000000000000e+01,4.225971115300660860e-08
4.800000000000000000e+01,3.033905240938745577e-08
4.900000000000000000e+01,2.178197477895171897e-08
5.000000000000000000e+01,1.563903506949848408e-08
5.100000000000000000e+01,1.122893010181023188e-08
5.200000000000000000e+01,8.062704656173062089e-09
5.300000000000000000e+01,5.789427434934559863e-09
5.400000000000000000e+01,4.157205788113824739e-09
5.500000000000000000e+01,2.985226828031453019e-09
5.600000000000000000e+01,2.143689358975838433e-09
5.700000000000000000e+01,1.539409321742578003e-09
5.800000000000000000e+01,1.105485763125737285e-09
5.900000000000000000e+01,7.938865019760848076e-10
6.000000000000000000e+01,5.701238102971627807e-10
6.100000000000000000e+01,4.094349519131105872e-10
6.200000000000000000e+01,2.940390490349562523e-10
6.300000000000000000e+01,2.111684656746089244e-10
6.400000000000000000e+01,1.516549306878321674e-10
6.500000000000000000e+01,1.089148369814351290e-10
6.600000000000000000e+01,7.822042212064769191e-11
6.700000000000000000e+01,5.617664090874955114e-11
6.800000000000000000e+01,4.034535728948451828e-11
6.900000000000000000e+01,2.897566387886310629e-11
7.000000000000000000e+01,2.081013831090053063e-11
7.100000000000000000e+01,1.494576566254503485e-11
7.200000000000000000e+01,1.073402775101064827e-11
7.300000000000000000e+01,7.709184779937724212e-12
7.400000000000000000e+01,5.536753063831597977e-12
7.500000000000000000e+01,3.976517482500370398e-12
7.600000000000000000e+01,2.855956082445354179e-12
7.700000000000000000e+01,2.051167029082005392e-12
7.800000000000000000e+01,1.473164488924966553e-12
7.900000000000000000e+01,1.058040201508891859e-12
8.000000000000000000e+01,7.598950652451359863e-13
8.100000000000000000e+01,5.457648328307806732e-13
8.200000000000000000e+01,3.919744696102790954e-13
8.300000000000000000e+01,2.815207943804224457e-13
8.400000000000000000e+01,2.021918050948142819e-13
8.500000000000000000e+01,1.452168575045249815e-13
8.600000000000000000e+01,1.042967612754973560e-13
8.700000000000000000e+01,7.490744071354108430e-14
8.800000000000000000e+01,5.379963100246908290e-14
8.900000000000000000e+01,3.863970597198451611e-14
9.000000000000000000e+01,2.775162250051308760e-14
9.100000000000000000e+01,1.993164662043815561e-14
9.200000000000000000e+01,1.431522382484103509e-14
9.300000000000000000e+01,1.028142558253624965e-14
9.400000000000000000e+01,7.384288699573649245e-15
9.500000000000000000e+01,5.303519860976511853e-15
9.600000000000000000e+01,3.809077420039985419e-15
9.700000000000000000e+01,2.735744026802703188e-15
9.800000000000000000e+01,1.964857519707934698e-15
9.900000000000000000e+01,1.411194271195708010e-15
1.000000000000000000e+02,1.013544041881736142e-15
1.010000000000000000e+02,7.279450511191236660e-16
1.020000000000000000e+02,5.228229452718628123e-16
1.030000000000000000e+02,3.755007590375722411e-16
1.040000000000000000e+02,2.696913465440788202e-16
1.050000000000000000e+02,1.936971422470986324e-16
1.060000000000000000e+02,1.391167147997009244e-16
1.070000000000000000e+02,9.991610837394817242e-17
1.080000000000000000e+02,7.176153982304307953e-17
1.090000000000000000e+02,5.154043822272353089e-17
1.100000000000000000e+02,3.701727991257003279e-17
1.110000000000000000e+02,2.658649033092409418e-17
1.120000000000000000e+02,1.909490513003492012e-17
1.130000000000000000e+02,1.371431076948442991e-17
1.140000000000000000e+02,9.849866534314497632e-18
1.150000000000000000e+02,7.074353925928443914e-18
1.160000000000000000e+02,5.080930397802080762e-18
1.170000000000000000e+02,3.649218025926125000e-18
1.180000000000000000e+02,2.620935910865060378e-18
1.190000000000000000e+02,1.882405093632451118e-18
1.200000000000000000e+02,1.351978399950450714e-18
1.210000000000000000e+02,9.710160144080234343e-19
