r,C_d
0.000000000000000000e+00,1.915603422304507752e+00
1.000000000000000000e+00,3.763476576569666499e-01
2.000000000000000000e+00,1.618890953726502269e-01
3.000000000000000000e+00,1.050146759425395759e-01
4.000000000000000000e+00,5.920220167460305688e-02
5.000000000000000000e+00,3.430307659168682632e-02
6.000000000000000000e+00,1.979300198044099679e-02
7.000000000000000000e+00,1.153262309481958327e-02
8.000000000000000000e+00,6.807627168000218894e-03
9.000000000000000000e+00,4.044641876975845970e-03
1.000000000000000000e+01,2.414222572082536013e-03
1.100000000000000000e+01,1.447003040258407810e-03
1.200000000000000000e+01,8.703106259147594826e-04
1.300000000000000000e+01,5.250338410012101321e-04
1.400000000000000000e+01,3.175552175518594122e-04
1.500000000000000000e+01,1.924937037794406105e-04
1.600000000000000000e+01,1.169103364878136227e-04
1.700000000000000000e+01,7.112507280883516758e-05
1.800000000000000000e+01,4.333411944167530927e-05
1.900000000000000000e+01,2.643595876254843175e-05
2.000000000000000000e+01,1.614518094760781437e-05
2.100000000000000000e+01,9.869920294113793233e-06
2.200000000000000000e+01,6.038787230764028108e-06
2.300000000000000000e+01,3.697477261464546071e-06
2.400000000000000000e+01,2.265353796864576745e-06
2.500000000000000000e+01,1.388696205397335359e-06
2.600000000000000000e+01,8.516951372873318645e-07
2.700000000000000000e+01,5.225670541380448843e-07
2.800000000000000000e+01,3.207395560972015598e-07
2.900000000000000000e+01,1.969238304479242201e-07
3.000000000000000000e+01,1.209367178360513491e-07
3.100000000000000000e+01,7.428812846928810684e-08
3.200000000000000000e+01,4.564205433338219887e-08
3.300000000000000000e+01,2.804701933843780340e-08
3.400000000000000000e+01,1.723735588145693676e-08
3.500000000000000000e+01,1.059525875103296876e-08
3.600000000000000000e+01,6.513247504979679867e-09
3.700000000000000000e+01,4.004294552945522577e-09
3.800000000000000000e+01,2.462001039336370425e-09
3.900000000000000000e+01,1.513848733104767450e-09
4.000000000000000000e+01,9.308963403163738292e-10
4.100000000000000000e+01,5.724588887182327940e-10
4.200000000000000000e+01,3.520505938836167821e-10
4.300000000000000000e+01,2.165132400784633221e-10
4.400000000000000000e+01,1.331606091812946659e-10
4.500000000000000000e+01,8.189945218993700859e-11
4.600000000000000000e+01,5.037271928460982554e-11
4.700000000000000000e+01,3.098280100831644862e-11
4.800000000000000000e+01,1.905690194486227461e-11
4.900000000000000000e+01,1.172174788440543716e-11
5.000000000000000000e+01,7.210024175734721768e-12
5.100000000000000000e+01,4.434943010129499289e-12
