r,C_d
0.000000000000000000e+00,3.900170275165672162e+00
1.000000000000000000e+00,-9.199544227045552969e-03
2.000000000000000000e+00,5.380348426477401409e-06
3.000000000000000000e+00,-2.289338127120779453e-05
4.000000000000000000e+00,1.153749348801347562e-05
5.000000000000000000e+00,4.114098324986096681e-06
6.000000000000000000e+00,1.539188990357371561e-06
7.000000000000000000e+00,-6.247837267211806630e-07
8.000000000000000000e+00,-5.491129117201549256e-07
9.000000000000000000e+00,1.000566608700047766e-07
1.000000000000000000e+01,3.980392851657162619e-08
1.100000000000000000e+01,5.119776795332768233e-08
1.200000000000000000e+01,5.709027434312586536e-08
1.300000000000000000e+01,5.707788928910750976e-08
1.400000000000000000e+01,3.969152985419089950e-08
1.500000000000000000e+01,1.884519014464712688e-08
1.600000000000000000e+01,3.012088757896881655e-09
1.700000000000000000e+01,8.358479123641644115e-09
1.800000000000000000e+01,1.518348680459636915e-09
1.900000000000000000e+01,1.963911638286075112e-09
2.000000000000000000e+01,2.231653942384253007e-09
2.100000000000000000e+01,2.285524853490157981e-09
2.200000000000000000e+01,1.628132655847957508e-09
2.300000000000000000e+01,8.250308317060387853e-10
2.400000000000000000e+01,1.836823974271865319e-10
2.500000000000000000e+01,3.857596667845618589e-10
2.600000000000000000e+01,1.195554314288764014e-10
2.700000000000000000e+01,1.393644575673136595e-10
2.800000000000000000e+01,1.608996608884158294e-10
2.900000000000000000e+01,1.640493255524524337e-10
3.000000000000000000e+01,1.138037061049974385e-10
3.100000000000000000e+01,5.445290161007932951e-11
3.200000000000000000e+01,9.630820889768840966e-12
3.300000000000000000e+01,2.445989487095137770e-11
3.400000000000000000e+01,4.849089926505793698e-12
3.500000000000000000e+01,6.109959949105590687e-12
3.600000000000000000e+01,6.969864096177201252e-12
3.700000000000000000e+01,7.032385163214713656e-12
3.800000000000000000e+01,4.945794436634485351e-12
3.900000000000000000e+01,2.454889907916736623e-12
4.000000000000000000e+01,5.572922386096016220e-13
4.100000000000000000e+01,1.175829692010111282e-12
4.200000000000000000e+01,3.493128311792546224e-13
4.300000000000000000e+01,4.084654361381876441e-13
4.400000000000000000e+01,4.713381855712120674e-13
4.500000000000000000e+01,4.805103003615907268e-13
4.600000000000000000e+01,3.337451976067503753e-13
4.700000000000000000e+01,1.606078646237054557e-13
4.800000000000000000e+01,2.932188189022215778e-14
4.900000000000000000e+01,7.247345357832167560e-14
5.000000000000000000e+01,1.516709759058697909e-14
5.100000000000000000e+01,1.889221770924377463e-14
5.200000000000000000e+01,2.159021081860178436e-14
5.300000000000000000e+01,2.178593347362181144e-14
5.400000000000000000e+01,1.528130727269118508e-14
5.500000000000000000e+01,7.541947044605373074e-15
5.600000000000000000e+01,1.672439351067862405e-15
5.700000000000000000e+01,3.592576222993221065e-15
5.800000000000000000e+01,1.025393155522466036e-15
5.900000000000000000e+01,1.206447645428780554e-15
6.000000000000000000e+01,1.390818347666418579e-15
6.100000000000000000e+01,1.416576091200968103e-15
6.200000000000000000e+01,9.849400837616711688e-16
6.300000000000000000e+01,4.753833951313501980e-16
6.400000000000000000e+01,8.879501219030414809e-17
6.500000000000000000e+01,2.157079899281286585e-16
6.600000000000000000e+01,4.699289020568672732e-17
6.700000000000000000e+01,5.805783730608233120e-17
6.800000000000000000e+01,6.643124936664057516e-17
6.900000000000000000e+01,6.711204546280177571e-17
7.000000000000000000e+01,4.701201190921859213e-17
7.100000000000000000e+01,2.312706810239375204e-17
7.200000000000000000e+01,5.019045142551067135e-18
7.300000000000000000e+01,1.094726496460022938e-17
7.400000000000000000e+01,3.026611926684649185e-18
7.500000000000000000e+01,3.579587046255651885e-18
7.600000000000000000e+01,4.123283840597209914e-18
7.700000000000000000e+01,4.196021869336122533e-18
7.800000000000000000e+01,2.919850536760440222e-18
7.900000000000000000e+01,1.412266358244726718e-18
8.000000000000000000e+01,2.685096923877025750e-19
8.100000000000000000e+01,6.438478967358664562e-19
8.200000000000000000e+01,1.445949404693074525e-19
8.300000000000000000e+01,1.775649738181234872e-19
8.400000000000000000e+01,2.033595652310276307e-19
8.500000000000000000e+01,2.056457943080946861e-19
8.600000000000000000e+01,1.439224151252803940e-19
8.700000000000000000e+01,7.063742624017519201e-20
8.800000000000000000e+01,1.507449234881078447e-20
8.900000000000000000e+01,3.327121920941984067e-20
9.000000000000000000e+01,8.973329045154544461e-21
9.100000000000000000e+01,1.065695637166877439e-20
9.200000000000000000e+01,1.226770237115428319e-20
9.300000000000000000e+01,1.247536786664088108e-20
9.400000000000000000e+01,8.686676353445393578e-21
9.500000000000000000e+01,4.208484689226514949e-21
9.600000000000000000e+01,8.112375173211718626e-22
9.700000000000000000e+01,1.925825377100182571e-21
9.800000000000000000e+01,4.426272659654356988e-22
9.900000000000000000e+01,5.411093051684162674e-22
1.000000000000000000e+02,6.201378971644579838e-22
1.010000000000000000e+02,6.275789225346174282e-22
1.020000000000000000e+02,4.389156771809177049e-22
1.030000000000000000e+02,2.150497456811414837e-22
1.040000000000000000e+02,4.530735477190533674e-23
1.050000000000000000e+02,1.009112038567535497e-22
1.060000000000000000e+02,2.669822593815253073e-23
1.070000000000000000e+02,3.181158770270011377e-23
1.080000000000000000e+02,3.660115616720569493e-23
1.090000000000000000e+02,3.720012859996343368e-23
1.100000000000000000e+02,2.591569135673101856e-23
1.110000000000000000e+02,1.257175825761983143e-23
1.120000000000000000e+02,2.449355671381301541e-24
1.130000000000000000e+02,5.769784362632577336e-24
1.140000000000000000e+02,1.349754874689396209e-24
1.150000000000000000e+02,1.644490876243353914e-24
1.160000000000000000e+02,1.885635462415957663e-24
1.170000000000000000e+02,1.909338543568802858e-24
1.180000000000000000e+02,1.334668317324133461e-24
1.190000000000000000e+02,6.530811972459209235e-25
1.200000000000000000e+02,1.362490585334415647e-25
1.210000000000000000e+02,3.055825894040709313e-25
1.220000000000000000e+02,7.965620632972842514e-26
1.230000000000000000e+02,9.515664021458887737e-26
1.240000000000000000e+02,1.094399632887835144e-25
1.250000000000000000e+02,1.111826760926818336e-25
1.260000000000000000e+02,7.748653595167161727e-26
1.270000000000000000e+02,3.762686719161315129e-26
1.280000000000000000e+02,7.391608123308883953e-27
1.290000000000000000e+02,1.730824907417360908e-26
1.300000000000000000e+02,4.104109483624834003e-27
1.310000000000000000e+02,4.987522325910410110e-27
1.320000000000000000e+02,5.721105978798888780e-27
1.330000000000000000e+02,5.795497522211575690e-27
1.340000000000000000e+02,4.049607858966554717e-27
1.350000000000000000e+02,1.979609307311392630e-27
1.360000000000000000e+02,4.099049009785571101e-28
1.370000000000000000e+02,9.242691802396203219e-28
1.380000000000000000e+02,2.381798454687945115e-28
1.390000000000000000e+02,2.850995294693541744e-28
1.400000000000000000e+02,3.277923272937570023e-28
1.410000000000000000e+02,3.328993548578175589e-28
1.420000000000000000e+02,2.320786998714016100e-28
1.430000000000000000e+02,1.127843357174993055e-28
1.440000000000000000e+02,2.229769318745851941e-29
1.450000000000000000e+02,5.197256251953963990e-29
1.460000000000000000e+02,1.245194097779257171e-29
1.470000000000000000e+02,1.510290006904663501e-29
1.480000000000000000e+02,1.732941293512931861e-29
1.490000000000000000e+02,1.756044485948781933e-29
1.500000000000000000e+02,1.226676470532145323e-29
1.510000000000000000e+02,5.991997217410411729e-30
1.520000000000000000e+02,1.233602795074666632e-30
1.530000000000000000e+02,2.793006104735550865e-30
1.540000000000000000e+02,7.133967928998876321e-31
1.550000000000000000e+02,8.552663206723430736e-31
1.560000000000000000e+02,9.831031334312920569e-31
1.570000000000000000e+02,9.981571627453121067e-31
1.580000000000000000e+02,6.960250063577556090e-31
1.590000000000000000e+02,3.384572305392357126e-31
1.600000000000000000e+02,6.724399516907520355e-32
1.610000000000000000e+02,1.561802795463120687e-31
1.620000000000000000e+02,3.771705384099626076e-32
1.630000000000000000e+02,4.567932517180356056e-32
1.640000000000000000e+02,5.242531246579071681e-32
1.650000000000000000e+02,5.313737075195487376e-32
1.660000000000000000e+02,3.711054033822999947e-32
1.670000000000000000e+02,1.811719929077393561e-32
1.680000000000000000e+02,3.713449851406077903e-33
1.690000000000000000e+02,8.434165944568408223e-33
1.700000000000000000e+02,2.139607004073342204e-33
1.710000000000000000e+02,2.568213479290420504e-33
1.720000000000000000e+02,2.951533701359816804e-33
1.730000000000000000e+02,2.996117974309954754e-33
1.740000000000000000e+02,2.089609730963112183e-33
1.750000000000000000e+02,1.016599525665732628e-33
1.760000000000000000e+02,2.027445746163525618e-34
1.770000000000000000e+02,4.696067201737270554e-34
1.780000000000000000e+02,1.141018112176186124e-34
1.790000000000000000e+02,1.380336699556536997e-34
1.800000000000000000e+02,1.584459453846799039e-34
1.810000000000000000e+02,1.606283331625026369e-34
