r,C_nn
0.000000000000000000e+00,1.266901479510518236e-01
1.000000000000000000e+00,-7.557893905213597385e-02
2.000000000000000000e+00,9.138522124833792226e-03
3.000000000000000000e+00,1.968633652906115472e-03
4.000000000000000000e+00,8.835310134384100067e-04
5.000000000000000000e+00,1.528226009714916955e-04
6.000000000000000000e+00,8.035187907595719992e-05
7.000000000000000000e+00,1.102694539623083614e-05
8.000000000000000000e+00,-2.131961055473752253e-07
9.000000000000000000e+00,-6.209569353154975602e-07
1.000000000000000000e+01,-1.707353793900523442e-07
1.100000000000000000e+01,-2.422259559597961243e-08
1.200000000000000000e+01,1.497896140456589364e-09
1.300000000000000000e+01,2.542898114299418921e-09
1.400000000000000000e+01,1.350471512395756690e-09
1.500000000000000000e+01,4.552848098526851572e-10
1.600000000000000000e+01,1.077598010823521690e-10
1.700000000000000000e+01,1.630917623174354958e-11
1.800000000000000000e+01,7.777112287499221566e-13
1.900000000000000000e+01,-3.577138585342254373e-13
2.000000000000000000e+01,-8.870681966755000758e-14
2.100000000000000000e+01,2.886579864025407005e-14
2.200000000000000000e+01,3.619327060278010322e-14
2.300000000000000000e+01,2.142730437526552123e-14
2.400000000000000000e+01,1.065814103640150279e-14
2.500000000000000000e+01,6.328271240363392280e-15
2.600000000000000000e+01,4.329869796038110508e-15
2.700000000000000000e+01,4.662936703425657470e-15
2.800000000000000000e+01,4.440892098500626162e-15
2.900000000000000000e+01,5.329070518200751394e-15
3.000000000000000000e+01,5.107025913275720086e-15
3.100000000000000000e+01,5.440092820663267048e-15
3.200000000000000000e+01,5.440092820663267048e-15
3.300000000000000000e+01,5.551115123125782702e-15
3.400000000000000000e+01,5.440092820663267048e-15
3.500000000000000000e+01,6.217248937900876626e-15
3.600000000000000000e+01,6.328271240363392280e-15
3.700000000000000000e+01,7.105427357601001859e-15
3.800000000000000000e+01,7.105427357601001859e-15
3.900000000000000000e+01,7.327471962526033167e-15
4.000000000000000000e+01,7.438494264988548821e-15
4.100000000000000000e+01,7.438494264988548821e-15
