r,C_n
0.000000000000000000e+00,5.007071845992414616e+00
1.000000000000000000e+00,1.115350925119335201e+00
2.000000000000000000e+00,-4.260432456602973872e-01
3.000000000000000000e+00,-6.888628811418628928e-01
4.000000000000000000e+00,-8.539646097561179872e-01
5.000000000000000000e+00,-9.911012653652271354e-01
6.000000000000000000e+00,-8.608395612577841582e-01
7.000000000000000000e+00,-6.935906402248104285e-01
8.000000000000000000e+00,-4.555547362962832914e-01
9.000000000000000000e+00,-2.220769851860420196e-01
1.000000000000000000e+01,2.389658813691619699e-02
1.100000000000000000e+01,2.689401535787960817e-01
1.200000000000000000e+01,4.636530439598596232e-01
1.300000000000000000e+01,5.144545434077758550e-01
1.400000000000000000e+01,4.861571568950457944e-01
1.500000000000000000e+01,3.834605451349202276e-01
1.600000000000000000e+01,2.636516728449209701e-01
1.700000000000000000e+01,1.261959386764801572e-01
1.800000000000000000e+01,-2.911793545791763194e-02
1.900000000000000000e+01,-1.886362074202536654e-01
2.000000000000000000e+01,-2.975415244637371615e-01
2.100000000000000000e+01,-3.269068613091365982e-01
2.200000000000000000e+01,-3.027917659649603799e-01
2.300000000000000000e+01,-2.319063070741957944e-01
2.400000000000000000e+01,-1.524317573312585772e-01
2.500000000000000000e+01,-6.351712963778277654e-02
2.600000000000000000e+01,3.867428098478198351e-02
2.700000000000000000e+01,1.429557956913303229e-01
2.800000000000000000e+01,2.111913212511948856e-01
2.900000000000000000e+01,2.208446034148328074e-01
3.000000000000000000e+01,1.979973863298036818e-01
3.100000000000000000e+01,1.458853244221889334e-01
3.200000000000000000e+01,8.874828702525983104e-02
3.300000000000000000e+01,2.584805785300803294e-02
3.400000000000000000e+01,-4.114000406869289250e-02
3.500000000000000000e+01,-1.049116334627866465e-01
3.600000000000000000e+01,-1.428393416534090576e-01
3.700000000000000000e+01,-1.437207282676364883e-01
3.800000000000000000e+01,-1.265532840402747716e-01
3.900000000000000000e+01,-9.205620368334344050e-02
4.000000000000000000e+01,-5.497668291391599737e-02
4.100000000000000000e+01,-1.366050012403707825e-02
4.200000000000000000e+01,3.048491567341127251e-02
4.300000000000000000e+01,7.304595363497279337e-02
4.400000000000000000e+01,9.765441043359901485e-02
4.500000000000000000e+01,9.681597029065480697e-02
4.600000000000000000e+01,8.423690439709385913e-02
4.700000000000000000e+01,6.027585567027404778e-02
4.800000000000000000e+01,3.479861652092441915e-02
4.900000000000000000e+01,6.702854784666811838e-03
5.000000000000000000e+01,-2.258078473456270885e-02
5.100000000000000000e+01,-5.009935415372757106e-02
5.200000000000000000e+01,-6.543316623554407130e-02
5.300000000000000000e+01,-6.405962036115830927e-02
5.400000000000000000e+01,-5.537729848062777904e-02
5.500000000000000000e+01,-3.943160187963767882e-02
5.600000000000000000e+01,-2.256835403905554926e-02
5.700000000000000000e+01,-3.896133572282245439e-03
5.800000000000000000e+01,1.554109435434281039e-02
5.900000000000000000e+01,3.385118513033447130e-02
6.000000000000000000e+01,4.393503863789227637e-02
6.100000000000000000e+01,4.280979354049163632e-02
6.200000000000000000e+01,3.686824967393320662e-02
6.300000000000000000e+01,2.611752648028531354e-02
6.400000000000000000e+01,1.478651772834105316e-02
6.500000000000000000e+01,2.276999655216549456e-03
6.600000000000000000e+01,-1.065664481613737280e-02
6.700000000000000000e+01,-2.275560358201023092e-02
6.800000000000000000e+01,-2.934098061543366498e-02
6.900000000000000000e+01,-2.848053630360825039e-02
7.000000000000000000e+01,-2.447561868195435864e-02
7.100000000000000000e+01,-1.730716384680341946e-02
7.200000000000000000e+01,-9.764760178854636763e-03
7.300000000000000000e+01,-1.430119548686992204e-03
7.400000000000000000e+01,7.178209346187180984e-03
7.500000000000000000e+01,1.523086585068078591e-02
7.600000000000000000e+01,1.959491915483679847e-02
7.700000000000000000e+01,1.899051418291586302e-02
7.800000000000000000e+01,1.630093490275630330e-02
