r,C_j
0.000000000000000000e+00,5.418429497553358232e+00
1.000000000000000000e+00,-1.046749097375916815e+00
2.000000000000000000e+00,2.457005777515686440e-01
3.000000000000000000e+00,5.333211862899792099e-02
4.000000000000000000e+00,-1.361448077365595699e-02
5.000000000000000000e+00,1.023591254496969416e-03
6.000000000000000000e+00,-1.143734599248047434e-03
7.000000000000000000e+00,2.343161060023302156e-04
8.000000000000000000e+00,-3.085657832041510673e-05
9.000000000000000000e+00,-5.429811728457911713e-05
1.000000000000000000e+01,-2.160779734122764140e-05
1.100000000000000000e+01,-1.074941589190858693e-05
1.200000000000000000e+01,-6.153910560691144838e-06
1.300000000000000000e+01,-3.813474726055421371e-06
1.400000000000000000e+01,-2.415588088888753759e-06
1.500000000000000000e+01,-1.515064311397029684e-06
1.600000000000000000e+01,-9.855296755900688765e-07
1.700000000000000000e+01,-6.566645020522621223e-07
1.800000000000000000e+01,-4.436037001065429308e-07
1.900000000000000000e+01,-3.022436297905883862e-07
2.000000000000000000e+01,-2.072903207972487394e-07
2.100000000000000000e+01,-1.429498610039381390e-07
2.200000000000000000e+01,-9.902073933032440323e-08
2.300000000000000000e+01,-6.885536024681115919e-08
2.400000000000000000e+01,-4.805584685740882378e-08
2.500000000000000000e+01,-3.365664891230579769e-08
2.600000000000000000e+01,-2.365032136797395879e-08
2.700000000000000000e+01,-1.667084859047207601e-08
2.800000000000000000e+01,-1.178233677290307924e-08
2.900000000000000000e+01,-8.348531255197855216e-09
3.000000000000000000e+01,-5.928913915376199384e-09
3.100000000000000000e+01,-4.218995430793626156e-09
3.200000000000000000e+01,-3.007423921008722800e-09
3.300000000000000000e+01,-2.147167998955978874e-09
3.400000000000000000e+01,-1.535216287429364002e-09
3.500000000000000000e+01,-1.099156432537995443e-09
3.600000000000000000e+01,-7.877274388334853938e-10
3.700000000000000000e+01,-5.651484280555507667e-10
3.800000000000000000e+01,-4.058479108337564867e-10
3.900000000000000000e+01,-2.916988872669890043e-10
4.000000000000000000e+01,-2.097940154932587120e-10
4.100000000000000000e+01,-1.509880553918208079e-10
4.200000000000000000e+01,-1.087380185893493945e-10
4.300000000000000000e+01,-7.836070681221940504e-11
4.400000000000000000e+01,-5.648914669365012742e-11
4.500000000000000000e+01,-4.074418580302108239e-11
4.600000000000000000e+01,-2.940103716042585802e-11
4.700000000000000000e+01,-2.122441111751527387e-11
4.800000000000000000e+01,-1.532518556501827334e-11
4.900000000000000000e+01,-1.106892355551281071e-11
5.000000000000000000e+01,-7.997658091341008912e-12
5.100000000000000000e+01,-5.780209644257183754e-12
5.200000000000000000e+01,-4.178213330874314124e-12
5.300000000000000000e+01,-3.020916850005050946e-12
5.400000000000000000e+01,-2.184918912462308072e-12
5.500000000000000000e+01,-1.580457986705141593e-12
5.600000000000000000e+01,-1.143363181910217463e-12
5.700000000000000000e+01,-8.271716644969728804e-13
5.800000000000000000e+01,-5.979661210631093127e-13
5.900000000000000000e+01,-4.332090242087360821e-13
6.000000000000000000e+01,-3.135824933053754648e-13
6.100000000000000000e+01,-2.270961196870757703e-13
6.200000000000000000e+01,-1.640354518883668788e-13
6.300000000000000000e+01,-1.189048859373542655e-13
6.400000000000000000e+01,-8.598677325721837406e-14
6.500000000000000000e+01,-6.206146707654625061e-14
6.600000000000000000e+01,-4.513056595101261337e-14
6.700000000000000000e+01,-3.291811268013589142e-14
6.800000000000000000e+01,-2.359223927328457648e-14
6.900000000000000000e+01,-1.687538997430237941e-14
7.000000000000000000e+01,-1.215694211964546412e-14
7.100000000000000000e+01,-9.547918011776346248e-15
7.200000000000000000e+01,-6.605826996519681416e-15
7.300000000000000000e+01,-4.829470157119430951e-15
7.400000000000000000e+01,-3.219646771412953967e-15
7.500000000000000000e+01,-2.442490654175344389e-15
7.600000000000000000e+01,-1.887379141862766119e-15
7.700000000000000000e+01,-1.387778780781445676e-15
7.800000000000000000e+01,-9.436895709313830594e-16
7.900000000000000000e+01,-6.661338147750939243e-16
8.000000000000000000e+01,-4.996003610813204432e-16
8.100000000000000000e+01,-5.551115123125782702e-16
8.200000000000000000e+01,-3.330669073875469621e-16
8.300000000000000000e+01,-2.220446049250313081e-16
8.400000000000000000e+01,-2.775557561562891351e-16
8.500000000000000000e+01,-1.110223024625156540e-16
8.600000000000000000e+01,-2.220446049250313081e-16
8.700000000000000000e+01,-1.665334536937734811e-16
8.800000000000000000e+01,-5.551115123125782702e-17
8.900000000000000000e+01,-5.551115123125782702e-17
9.000000000000000000e+01,0.000000000000000000e+00
9.100000000000000000e+01,5.551115123125782702e-17
9.200000000000000000e+01,-5.551115123125782702e-17
9.300000000000000000e+01,-1.110223024625156540e-16
9.400000000000000000e+01,-5.551115123125782702e-17
9.500000000000000000e+01,0.000000000000000000e+00
9.600000000000000000e+01,5.551115123125782702e-17
9.700000000000000000e+01,0.000000000000000000e+00
9.800000000000000000e+01,5.551115123125782702e-17
9.900000000000000000e+01,1.110223024625156540e-16
1.000000000000000000e+02,5.551115123125782702e-17
1.010000000000000000e+02,-5.551115123125782702e-17
1.020000000000000000e+02,0.000000000000000000e+00
1.030000000000000000e+02,-1.110223024625156540e-16
1.040000000000000000e+02,-5.551115123125782702e-17
1.050000000000000000e+02,-1.110223024625156540e-16
1.060000000000000000e+02,1.110223024625156540e-16
1.070000000000000000e+02,0.000000000000000000e+00
1.080000000000000000e+02,-5.551115123125782702e-17
1.090000000000000000e+02,-5.551115123125782702e-17
1.100000000000000000e+02,0.000000000000000000e+00
1.110000000000000000e+02,0.000000000000000000e+00
1.120000000000000000e+02,-1.110223024625156540e-16
1.130000000000000000e+02,-5.551115123125782702e-17
1.140000000000000000e+02,0.000000000000000000e+00
1.150000000000000000e+02,1.110223024625156540e-16
