r,C_nn
0.000000000000000000e+00,8.937688629802549301e-01
1.000000000000000000e+00,-4.042149907818384236e-01
2.000000000000000000e+00,-1.551756838499862567e-02
3.000000000000000000e+00,-2.242136822814444486e-02
4.000000000000000000e+00,-2.077588793094164998e-03
5.000000000000000000e+00,-1.512945152388311953e-03
6.000000000000000000e+00,6.687801929254888478e-04
7.000000000000000000e+00,3.656578101214336129e-04
8.000000000000000000e+00,3.771090848774250048e-04
9.000000000000000000e+00,2.208609782234915997e-04
1.000000000000000000e+01,1.139087121284632076e-04
1.100000000000000000e+01,8.878887899310683451e-05
1.200000000000000000e+01,5.815869015801666819e-05
1.300000000000000000e+01,5.604415530413575652e-05
1.400000000000000000e+01,4.126999261444552758e-05
1.500000000000000000e+01,2.434687811891933507e-05
1.600000000000000000e+01,3.517641330219589690e-06
1.700000000000000000e+01,1.209931176848755285e-05
1.800000000000000000e+01,1.149353527285512655e-05
1.900000000000000000e+01,1.577803299745994536e-05
2.000000000000000000e+01,1.303179924327935169e-05
2.100000000000000000e+01,1.429634082228403713e-06
2.200000000000000000e+01,-4.244937453989905407e-06
2.300000000000000000e+01,-1.668166112800406609e-05
2.400000000000000000e+01,-6.028921744949400363e-06
2.500000000000000000e+01,-5.144428231851350120e-06
2.600000000000000000e+01,-3.725447688118777023e-06
2.700000000000000000e+01,-9.802755942089902419e-06
2.800000000000000000e+01,-4.361134762653762209e-06
2.900000000000000000e+01,-1.035665865689594511e-05
3.000000000000000000e+01,-2.496321123146572063e-06
3.100000000000000000e+01,-5.944087278386689377e-06
3.200000000000000000e+01,6.485882956930311138e-06
3.300000000000000000e+01,3.755153503703922979e-07
3.400000000000000000e+01,-3.080059578941529708e-06
3.500000000000000000e+01,-1.051659526130066524e-05
3.600000000000000000e+01,-6.839345902065474547e-06
3.700000000000000000e+01,-6.763947054011509863e-06
3.800000000000000000e+01,-6.594696868589267069e-07
3.900000000000000000e+01,2.453596736451402194e-06
4.000000000000000000e+01,2.860891179956581709e-06
4.100000000000000000e+01,-5.069344730657121545e-07
4.200000000000000000e+01,-9.533255047600164289e-07
4.300000000000000000e+01,-2.060735566189464407e-06
4.400000000000000000e+01,-1.862165841970409019e-06
4.500000000000000000e+01,2.113944190362815334e-06
4.600000000000000000e+01,1.946493323856657298e-06
4.700000000000000000e+01,7.299288906637002583e-06
4.800000000000000000e+01,-1.607454129803898013e-06
4.900000000000000000e+01,-3.986587415738540585e-07
5.000000000000000000e+01,1.493079488490423046e-06
5.100000000000000000e+01,6.162791856390015255e-06
5.200000000000000000e+01,3.881864810040269731e-06
5.300000000000000000e+01,7.550256497346197193e-06
5.400000000000000000e+01,2.967990310409618360e-06
5.500000000000000000e+01,5.436561712812704172e-06
5.600000000000000000e+01,-2.666794673977790353e-06
5.700000000000000000e+01,1.023411796197137846e-06
5.800000000000000000e+01,2.576186960645543422e-06
5.900000000000000000e+01,7.767788121171292914e-06
6.000000000000000000e+01,5.498419239025054139e-06
6.100000000000000000e+01,5.445376189072703710e-06
6.200000000000000000e+01,1.398021265863746976e-06
6.300000000000000000e+01,-8.939915545624899096e-07
6.400000000000000000e+01,-5.898309600738116387e-07
6.500000000000000000e+01,1.622103979137534679e-06
6.600000000000000000e+01,1.398932436558197878e-06
6.700000000000000000e+01,2.236208856309929160e-06
6.800000000000000000e+01,2.090459295445157295e-06
