r,C_sp
0.000000000000000000e+00,2.000000000000023537e+00
1.000000000000000000e+00,4.900942679887557648e-13
2.000000000000000000e+00,-7.150621076553675304e-14
3.000000000000000000e+00,-5.539208351629141450e-17
4.000000000000000000e+00,-3.504981429140027967e-16
5.000000000000000000e+00,-5.659144261692914351e-15
6.000000000000000000e+00,-8.801830905253336685e-15
7.000000000000000000e+00,5.925040898384667336e-22
8.000000000000000000e+00,1.083776190190621340e-23
9.000000000000000000e+00,3.994198448034162218e-24
1.000000000000000000e+01,8.707657106117123975e-25
1.100000000000000000e+01,1.345369510827679526e-24
1.200000000000000000e+01,8.634298184886401426e-26
1.300000000000000000e+01,2.961918303260117918e-26
1.400000000000000000e+01,2.363903357787380383e-26
1.500000000000000000e+01,9.976053912674759889e-27
1.600000000000000000e+01,1.481531827511891853e-26
1.700000000000000000e+01,9.045121804526446258e-27
1.800000000000000000e+01,8.331463891241412159e-27
1.900000000000000000e+01,-1.709656621980412398e-26
2.000000000000000000e+01,1.303217077364967347e-26
2.100000000000000000e+01,8.483273484074266977e-27
2.200000000000000000e+01,7.933694905271614139e-27
2.300000000000000000e+01,-1.778111585362918797e-26
2.400000000000000000e+01,1.297831906437402001e-26
2.500000000000000000e+01,8.463346290611075956e-27
2.600000000000000000e+01,7.921920670660431155e-27
2.700000000000000000e+01,-1.779912594444886011e-26
2.800000000000000000e+01,1.297652749229032154e-26
2.900000000000000000e+01,8.462570763102811544e-27
3.000000000000000000e+01,7.921549519866607397e-27
3.100000000000000000e+01,-1.779959792926536129e-26
3.200000000000000000e+01,1.297646445467156302e-26
3.300000000000000000e+01,8.462539804921391961e-27
3.400000000000000000e+01,7.921537292231082376e-27
3.500000000000000000e+01,-1.779961008858300139e-26
3.600000000000000000e+01,1.297646215984834593e-26
3.700000000000000000e+01,8.462538566970142071e-27
3.800000000000000000e+01,7.921536874499853528e-27
3.900000000000000000e+01,-1.779961039294828083e-26
4.000000000000000000e+01,1.297646207446616452e-26
4.100000000000000000e+01,8.462538517687452447e-27
4.200000000000000000e+01,7.921536859785831145e-27
4.300000000000000000e+01,-1.779961040020315014e-26
4.400000000000000000e+01,1.297646207124265251e-26
4.500000000000000000e+01,8.462538515735293826e-27
4.600000000000000000e+01,7.921536859254300208e-27
4.700000000000000000e+01,-1.779961040036071690e-26
4.800000000000000000e+01,1.297646207111970774e-26
4.900000000000000000e+01,8.462538515658275413e-27
5.000000000000000000e+01,7.921536859234697634e-27
5.100000000000000000e+01,-1.779961040036344900e-26
5.200000000000000000e+01,1.297646207111497534e-26
5.300000000000000000e+01,8.462538515655236232e-27
5.400000000000000000e+01,7.921536859233957211e-27
5.500000000000000000e+01,-1.779961040036344326e-26
5.600000000000000000e+01,1.297646207111478306e-26
5.700000000000000000e+01,8.462538515655114263e-27
5.800000000000000000e+01,7.921536859233921337e-27
5.900000000000000000e+01,-1.779961040036342604e-26
6.000000000000000000e+01,1.297646207111476585e-26
6.100000000000000000e+01,8.462538515655105654e-27
6.200000000000000000e+01,7.921536859233912728e-27
6.300000000000000000e+01,-1.779961040036341456e-26
6.400000000000000000e+01,1.297646207111475724e-26
6.500000000000000000e+01,8.462538515655094174e-27
