r,C_nn
0.000000000000000000e+00,1.064586194928319296e+00
1.000000000000000000e+00,-1.378787130418146489e-01
2.000000000000000000e+00,-1.202451362367782384e-01
3.000000000000000000e+00,-1.911291625950799489e-01
4.000000000000000000e+00,-1.695526595866087005e-01
5.000000000000000000e+00,-2.191342450006797948e-01
6.000000000000000000e+00,-1.682125280695214720e-01
7.000000000000000000e+00,-1.745085733011622064e-01
8.000000000000000000e+00,-1.100125685452044699e-01
9.000000000000000000e+00,-5.048488865684686022e-02
1.000000000000000000e+01,2.566482348577947548e-02
1.100000000000000000e+01,7.562674559350646142e-02
1.200000000000000000e+01,1.211792023013551489e-01
1.300000000000000000e+01,1.494988987927279300e-01
1.400000000000000000e+01,1.558989429221812051e-01
1.500000000000000000e+01,1.419442455515103063e-01
1.600000000000000000e+01,9.553412980556497125e-02
1.700000000000000000e+01,4.731799614916498697e-02
1.800000000000000000e+01,-1.636345996318389062e-02
1.900000000000000000e+01,-5.893348646846063854e-02
2.000000000000000000e+01,-9.638287007725243605e-02
2.100000000000000000e+01,-1.207052972514992550e-01
2.200000000000000000e+01,-1.260901272609187274e-01
2.300000000000000000e+01,-1.152499231049063377e-01
2.400000000000000000e+01,-7.781125497624186149e-02
2.500000000000000000e+01,-3.872474777060475049e-02
2.600000000000000000e+01,1.316548442024823018e-02
2.700000000000000000e+01,4.783792497964900470e-02
2.800000000000000000e+01,7.838640511512595666e-02
2.900000000000000000e+01,9.828744643439568662e-02
3.000000000000000000e+01,1.027300484816521253e-01
3.100000000000000000e+01,9.393556141670678095e-02
3.200000000000000000e+01,6.342480823400298284e-02
3.300000000000000000e+01,3.156215165183806626e-02
3.400000000000000000e+01,-1.074705237639583810e-02
3.500000000000000000e+01,-3.901281690945435088e-02
3.600000000000000000e+01,-6.391411532842772303e-02
3.700000000000000000e+01,-8.013373130918521881e-02
3.800000000000000000e+01,-8.374813814965365033e-02
3.900000000000000000e+01,-7.657409720606478398e-02
4.000000000000000000e+01,-5.169773038799874154e-02
4.100000000000000000e+01,-2.572295603093799343e-02
4.200000000000000000e+01,8.767005275411632326e-03
4.300000000000000000e+01,3.180828714550498759e-02
4.400000000000000000e+01,5.210716928938796677e-02
4.500000000000000000e+01,6.532931949992493159e-02
4.600000000000000000e+01,6.827639743298841157e-02
4.700000000000000000e+01,6.242794662213979606e-02
4.800000000000000000e+01,4.214755607708364771e-02
4.900000000000000000e+01,2.097097094584055021e-02
5.000000000000000000e+01,-7.148040994723769970e-03
5.100000000000000000e+01,-2.593311031389999854e-02
5.200000000000000000e+01,-4.248252187969681071e-02
5.300000000000000000e+01,-5.326252672904030483e-02
5.400000000000000000e+01,-5.566518458680635995e-02
5.500000000000000000e+01,-5.089688218344012860e-02
5.600000000000000000e+01,-3.436222315699077878e-02
5.700000000000000000e+01,-1.709712629214310553e-02
5.800000000000000000e+01,5.828001785624259412e-03
5.900000000000000000e+01,2.114321767803439833e-02
6.000000000000000000e+01,3.463570336965737795e-02
6.100000000000000000e+01,4.342444249471588691e-02
6.200000000000000000e+01,4.538326602686149069e-02
6.300000000000000000e+01,4.149569514667539316e-02
6.400000000000000000e+01,2.801516236450107833e-02
6.500000000000000000e+01,1.393909721958430659e-02
6.600000000000000000e+01,-4.751541095612710208e-03
6.700000000000000000e+01,-1.723789005932996332e-02
6.800000000000000000e+01,-2.823819452040898792e-02
6.900000000000000000e+01,-3.540358736619286795e-02
7.000000000000000000e+01,-3.700060616272338176e-02
7.100000000000000000e+01,-3.383110275438894199e-02
7.200000000000000000e+01,-2.284052901688982118e-02
7.300000000000000000e+01,-1.136442547934324310e-02
7.400000000000000000e+01,3.873901676832325336e-03
7.500000000000000000e+01,1.405391984181747489e-02
7.600000000000000000e+01,2.302237733700329692e-02
7.700000000000000000e+01,2.886426184895451996e-02
7.800000000000000000e+01,3.016629607399246016e-02
7.900000000000000000e+01,2.758222389541975517e-02
8.000000000000000000e+01,1.862169688611259311e-02
8.100000000000000000e+01,9.265322276942988822e-03
8.200000000000000000e+01,-3.158362619444909924e-03
8.300000000000000000e+01,-1.145804892213919679e-02
8.400000000000000000e+01,-1.876995979482143362e-02
8.500000000000000000e+01,-2.353280119550205107e-02
8.600000000000000000e+01,-2.459433941470323681e-02
8.700000000000000000e+01,-2.248756614031910406e-02
8.800000000000000000e+01,-1.518212028490761867e-02
8.900000000000000000e+01,-7.553942924827028449e-03
9.000000000000000000e+01,2.574988009750533990e-03
9.100000000000000000e+01,9.341655839209206391e-03
9.200000000000000000e+01,1.530299829897696640e-02
9.300000000000000000e+01,1.918610483243110565e-02
9.400000000000000000e+01,2.005156842025401787e-02
9.500000000000000000e+01,1.833393295917129517e-02
9.600000000000000000e+01,1.237786125822948335e-02
9.700000000000000000e+01,6.158669204052280577e-03
9.800000000000000000e+01,-2.099367238664218149e-03
9.900000000000000000e+01,-7.616177427706372072e-03
1.000000000000000000e+02,-1.247641227576301581e-02
1.010000000000000000e+02,-1.564227798163864147e-02
1.020000000000000000e+02,-1.634788352131877343e-02
1.030000000000000000e+02,-1.494750904864583507e-02
1.040000000000000000e+02,-1.009157138122906971e-02
1.050000000000000000e+02,-5.021113787968545239e-03
1.060000000000000000e+02,1.711597347263449365e-03
1.070000000000000000e+02,6.209408617882106185e-03
1.080000000000000000e+02,1.017191926149796366e-02
1.090000000000000000e+02,1.275302428275004729e-02
1.100000000000000000e+02,1.332829884360786643e-02
1.110000000000000000e+02,1.218658472241362922e-02
1.120000000000000000e+02,8.227577530669050176e-03
1.130000000000000000e+02,4.093673958413646119e-03
1.140000000000000000e+02,-1.395451647833390041e-03
1.150000000000000000e+02,-5.062481246700167858e-03
1.160000000000000000e+02,-8.293084520332616449e-03
1.170000000000000000e+02,-1.039743882493826543e-02
1.180000000000000000e+02,-1.086645557834986509e-02
1.190000000000000000e+02,-9.935625175102491546e-03
1.200000000000000000e+02,-6.707878236719144738e-03
1.210000000000000000e+02,-3.337539676605771888e-03
1.220000000000000000e+02,1.137700582005685135e-03
1.230000000000000000e+02,4.127400520988366850e-03
1.240000000000000000e+02,6.761285563336327797e-03
1.250000000000000000e+02,8.476948817998986030e-03
1.260000000000000000e+02,8.859334430533216675e-03
1.270000000000000000e+02,8.100435838356179197e-03
1.280000000000000000e+02,5.468879543091498263e-03
1.290000000000000000e+02,2.721069437656487011e-03
1.300000000000000000e+02,-9.275581965004775498e-04
1.310000000000000000e+02,-3.365036674697341468e-03
1.320000000000000000e+02,-5.512422109967385353e-03
1.330000000000000000e+02,-6.911188656595013136e-03
1.340000000000000000e+02,-7.222944591944391313e-03
1.350000000000000000e+02,-6.604220631883483961e-03
1.360000000000000000e+02,-4.458733805465131539e-03
1.370000000000000000e+02,-2.218466176276523427e-03
1.380000000000000000e+02,7.562307882487129262e-04
1.390000000000000000e+02,2.743487520699083859e-03
1.400000000000000000e+02,4.494233712540207648e-03
1.410000000000000000e+02,5.634636904515266664e-03
1.420000000000000000e+02,5.888809028265384882e-03
1.430000000000000000e+02,5.384368326053934339e-03
1.440000000000000000e+02,3.635170054833603004e-03
1.450000000000000000e+02,1.808697752234245115e-03
1.460000000000000000e+02,-6.165489207785590509e-04
1.470000000000000000e+02,-2.236743460344525758e-03
1.480000000000000000e+02,-3.664112845424227771e-03
1.490000000000000000e+02,-4.593874458192037658e-03
