r,C_d
0.000000000000000000e+00,1.846804488141849054e+00
1.000000000000000000e+00,8.053719747833588682e-01
2.000000000000000000e+00,8.576239508105708564e-01
3.000000000000000000e+00,9.376139524345274978e-01
4.000000000000000000e+00,9.116812991112178688e-01
5.000000000000000000e+00,9.502663239559806518e-01
6.000000000000000000e+00,9.381898832299935265e-01
7.000000000000000000e+00,9.507200524262394703e-01
8.000000000000000000e+00,9.479052544780268708e-01
9.000000000000000000e+00,9.461863292734553621e-01
1.000000000000000000e+01,9.473506612062361221e-01
1.100000000000000000e+01,9.467304488059377077e-01
1.200000000000000000e+01,9.466069096379714498e-01
1.300000000000000000e+01,9.463647105297989803e-01
1.400000000000000000e+01,9.461326252788065938e-01
1.500000000000000000e+01,9.460459425331135819e-01
1.600000000000000000e+01,9.459552960242889608e-01
1.700000000000000000e+01,9.459206512491860064e-01
1.800000000000000000e+01,9.459061765309983993e-01
1.900000000000000000e+01,9.458870214683428035e-01
2.000000000000000000e+01,9.458448791242057840e-01
2.100000000000000000e+01,9.457558377662446114e-01
2.200000000000000000e+01,9.456041689610830137e-01
2.300000000000000000e+01,9.453728374312146965e-01
2.400000000000000000e+01,9.450503893028934232e-01
2.500000000000000000e+01,9.446264254582381614e-01
2.600000000000000000e+01,9.440977780444013145e-01
2.700000000000000000e+01,9.434622143938097283e-01
2.800000000000000000e+01,9.427222151847010068e-01
2.900000000000000000e+01,9.418824145470048315e-01
3.000000000000000000e+01,9.409512525598107135e-01
3.100000000000000000e+01,9.399384554993767127e-01
3.200000000000000000e+01,9.388569971440395845e-01
3.300000000000000000e+01,9.377172433332847667e-01
3.400000000000000000e+01,9.365344833040580852e-01
3.500000000000000000e+01,9.353212006273763368e-01
3.600000000000000000e+01,9.340909838124398235e-01
3.700000000000000000e+01,9.328562658265791008e-01
3.800000000000000000e+01,9.316290521597698771e-01
3.900000000000000000e+01,9.304186936374156947e-01
4.000000000000000000e+01,9.292353874174663630e-01
4.100000000000000000e+01,9.280837120207364732e-01
4.200000000000000000e+01,9.269707493811205623e-01
4.300000000000000000e+01,9.258989757731648229e-01
4.400000000000000000e+01,9.248705145450020204e-01
4.500000000000000000e+01,9.238857702699063701e-01
4.600000000000000000e+01,9.229443884786528995e-01
4.700000000000000000e+01,9.220432148132242656e-01
4.800000000000000000e+01,9.211805921800150232e-01
4.900000000000000000e+01,9.203502541758183941e-01
5.000000000000000000e+01,9.195494804170128988e-01
5.100000000000000000e+01,9.187723059913095458e-01
5.200000000000000000e+01,9.180137769593254005e-01
5.300000000000000000e+01,9.172687130090048102e-01
5.400000000000000000e+01,9.165326736950152320e-01
5.500000000000000000e+01,9.158002291206107648e-01
5.600000000000000000e+01,9.150684882659957387e-01
5.700000000000000000e+01,9.143313320464540039e-01
5.800000000000000000e+01,9.135873565132318630e-01
5.900000000000000000e+01,9.128329038859991362e-01
6.000000000000000000e+01,9.120661655559236802e-01
6.100000000000000000e+01,9.112856351270643973e-01
6.200000000000000000e+01,9.104909905855106400e-01
6.300000000000000000e+01,9.096814029314119754e-01
6.400000000000000000e+01,9.088585102821554740e-01
6.500000000000000000e+01,9.080206885138937256e-01
6.600000000000000000e+01,9.071708427276130582e-01
6.700000000000000000e+01,9.063093378381255061e-01
6.800000000000000000e+01,9.054380306560884106e-01
6.900000000000000000e+01,9.045585973807670488e-01
7.000000000000000000e+01,9.036734108269764976e-01
7.100000000000000000e+01,9.027837109520976400e-01
7.200000000000000000e+01,9.018927403424016331e-01
7.300000000000000000e+01,9.009999414742116963e-01
7.400000000000000000e+01,9.001087183612833664e-01
7.500000000000000000e+01,8.992194801637436452e-01
7.600000000000000000e+01,8.983336828261049289e-01
7.700000000000000000e+01,8.974522652003339429e-01
7.800000000000000000e+01,8.965765570956029107e-01
7.900000000000000000e+01,8.957064152536833301e-01
8.000000000000000000e+01,8.948435977700217592e-01
