r,C_d
0.000000000000000000e+00,1.879395121267582569e+00
1.000000000000000000e+00,8.829344789191502230e-01
2.000000000000000000e+00,8.234058912463648738e-01
3.000000000000000000e+00,8.858960078488025136e-01
4.000000000000000000e+00,8.913192685320856512e-01
5.000000000000000000e+00,9.792033177384419362e-01
6.000000000000000000e+00,1.018105498944193776e+00
7.000000000000000000e+00,1.031727819488353237e+00
8.000000000000000000e+00,9.950622825439298103e-01
9.000000000000000000e+00,9.662758202162682331e-01
1.000000000000000000e+01,9.367619374668487708e-01
1.100000000000000000e+01,9.413218551685018642e-01
1.200000000000000000e+01,9.593349435058585728e-01
1.300000000000000000e+01,9.914979073031325862e-01
1.400000000000000000e+01,1.036205277773272204e+00
1.500000000000000000e+01,1.020413933619160662e+00
1.600000000000000000e+01,9.804891626309961694e-01
1.700000000000000000e+01,9.457066418201947045e-01
1.800000000000000000e+01,9.117205903728118344e-01
1.900000000000000000e+01,9.146672125178009205e-01
2.000000000000000000e+01,9.302862224276630121e-01
2.100000000000000000e+01,9.608605712283787570e-01
2.200000000000000000e+01,1.004178652621295909e+00
2.300000000000000000e+01,9.894290988354832450e-01
2.400000000000000000e+01,9.517113988539662728e-01
2.500000000000000000e+01,9.188146423336160939e-01
2.600000000000000000e+01,8.863178276732932570e-01
2.700000000000000000e+01,8.897923109256552499e-01
2.800000000000000000e+01,9.055773860211397963e-01
2.900000000000000000e+01,9.360024082701566828e-01
3.000000000000000000e+01,9.789317383032980491e-01
3.100000000000000000e+01,9.650085320584430582e-01
3.200000000000000000e+01,9.284633738397193303e-01
3.300000000000000000e+01,8.966020226950971450e-01
3.400000000000000000e+01,8.650000595077124155e-01
3.500000000000000000e+01,8.683857197314824861e-01
3.600000000000000000e+01,8.837407751620933727e-01
3.700000000000000000e+01,9.133014601689728451e-01
3.800000000000000000e+01,9.550014472709199564e-01
3.900000000000000000e+01,9.412537917623892136e-01
4.000000000000000000e+01,9.054796749307202353e-01
4.100000000000000000e+01,8.742854460747720990e-01
4.200000000000000000e+01,8.434056386771044966e-01
4.300000000000000000e+01,8.466681566691323102e-01
4.400000000000000000e+01,8.616128301756788010e-01
4.500000000000000000e+01,8.904242988115169677e-01
4.600000000000000000e+01,9.310812602582774211e-01
4.700000000000000000e+01,9.176921651788059187e-01
4.800000000000000000e+01,8.828324057912898537e-01
4.900000000000000000e+01,8.524359184431855585e-01
5.000000000000000000e+01,8.223380700915650099e-01
5.100000000000000000e+01,8.255301055161072821e-01
5.200000000000000000e+01,8.401124544239376712e-01
5.300000000000000000e+01,8.682165216997882462e-01
5.400000000000000000e+01,9.078720920048970466e-01
5.500000000000000000e+01,8.948242442025917676e-01
5.600000000000000000e+01,8.608368531430241610e-01
5.700000000000000000e+01,8.312012657198395438e-01
5.800000000000000000e+01,8.018548084809392629e-01
5.900000000000000000e+01,8.049669635039190529e-01
6.000000000000000000e+01,8.191849232578504170e-01
6.100000000000000000e+01,8.465863386307171945e-01
6.200000000000000000e+01,8.852503601301277003e-01
6.300000000000000000e+01,8.725245699978458891e-01
6.400000000000000000e+01,8.393818388964006116e-01
6.500000000000000000e+01,8.104826670670776112e-01
6.600000000000000000e+01,7.818665402182933821e-01
6.700000000000000000e+01,7.849004562815974362e-01
6.800000000000000000e+01,7.987635578385303692e-01
6.900000000000000000e+01,8.254817961729187248e-01
7.000000000000000000e+01,8.631820820627607027e-01
7.100000000000000000e+01,8.507738577755228349e-01
7.200000000000000000e+01,8.184577126444687600e-01
7.300000000000000000e+01,7.902793016265650117e-01
7.400000000000000000e+01,7.623767132397000212e-01
7.500000000000000000e+01,7.653352103817890884e-01
7.600000000000000000e+01,7.788529443638231298e-01
7.700000000000000000e+01,8.049053857696299996e-01
7.800000000000000000e+01,8.416661499793670620e-01
7.900000000000000000e+01,8.295673385904718256e-01
8.000000000000000000e+01,7.980567648979117745e-01
8.100000000000000000e+01,7.705807842301176658e-01
